Stratno | Stratigraphic Name | Entity Number | Province Name 
6669|Finniss River Group|40011|Mount Todd Gold Metallogenic Province
6669|Finniss River Group|512263|Pine Creek Orogen
6679|Fish Billabong Adamellite|20392|Litchfield Block
6682|Fish River Formation|556523|Mount Isa Orogen
6726|Flamingo Group|21914|Bonaparte Basin
6726|Flamingo Group|22075|Petrel Sub-basin
6726|Flamingo Group|22330|Money Shoal Basin
6726|Flamingo Group|26965|Malita Graben
6726|Flamingo Group|28315|Vulcan Sub-basin
6726|Flamingo Group|28590|Sahul Platform
6726|Flamingo Group|33446|Londonderry High
6726|Flamingo Group|33676|Troubadour Terrace
41994|Flint Spring Gneiss|22078|Amadeus Basin
41994|Flint Spring Gneiss|467256|Arunta Orogen
6767|Floraville Formation|557148|Karumba Basin
75722|Florina Formation|557149|Daly Basin
24278|Fog Bay Metamorphics|512263|Pine Creek Orogen
29775|Forty Five Augen Gneiss|467256|Arunta Orogen
6858|Fossil Head Formation|21914|Bonaparte Basin
6858|Fossil Head Formation|22075|Petrel Sub-basin
6858|Fossil Head Formation|22114|Canning Basin
6858|Fossil Head Formation|22196|Roebuck Basin
6858|Fossil Head Formation|28450|Ashmore Platform
6858|Fossil Head Formation|28590|Sahul Platform
6858|Fossil Head Formation|33446|Londonderry High
23601|Frances Creek Leucogranite|512263|Pine Creek Orogen
42090|Frankenia Monzogranite|467226|Tanami Orogen
27270|Frigate Shale|21914|Bonaparte Basin
27270|Frigate Shale|22075|Petrel Sub-basin
27270|Frigate Shale|22330|Money Shoal Basin
27270|Frigate Shale|26965|Malita Graben
27270|Frigate Shale|28590|Sahul Platform
27270|Frigate Shale|33446|Londonderry High
27270|Frigate Shale|33676|Troubadour Terrace
21824|Gadabara Volcanics|512264|McArthur Basin
21834|Garthalala Granite|559170|Arnhem Province
24283|Gaylad Sandstone|22078|Amadeus Basin
24284|Georgina Gap granitic gneiss|467256|Arunta Orogen
28284|Gibbie Formation|467208|Birrindudu Basin
27414|Giddy Granite|559170|Arnhem Province
30863|Giddy Suite|559170|Arnhem Province
7197|Gilbert River Formation|22401|Laura-Lakefield Basin
7197|Gilbert River Formation|529302|Eromanga Basin
7197|Gilbert River Formation|550572|Carpentaria Basin
7206|Giles Complex|39836|Nebo-Babel Nickel Metallogenic Province
7206|Giles Complex|467262|Musgrave Province
67994|Giles Creek Dolostone|22078|Amadeus Basin
27416|Gillen Member|22078|Amadeus Basin
21856|Glen Helen Metamorphics|467256|Arunta Orogen
69657|Goat Paddock beds|22109|Wiso Basin
23629|Goose Hole Group|467103|Halls Creek Orogen
23629|Goose Hole Group|467206|Ord Basin
7636|Goulburn Group|359040|Arafura Basin
7646|Goyder Formation|22078|Amadeus Basin
7690|Grant Bluff Formation|22113|Ngalia Basin
7742|Grebe Sandstone Member|21914|Bonaparte Basin
7742|Grebe Sandstone Member|26965|Malita Graben
7742|Grebe Sandstone Member|28315|Vulcan Sub-basin
7742|Grebe Sandstone Member|28450|Ashmore Platform
7742|Grebe Sandstone Member|28590|Sahul Platform
7742|Grebe Sandstone Member|33446|Londonderry High
40137|Grimwade Suite|364771|Aileron Province
40137|Grimwade Suite|467256|Arunta Orogen
72648|Grimwade Suite - group 1|467256|Arunta Orogen
72649|Grimwade Suite - group 2|467256|Arunta Orogen
72650|Grimwade Suite - group 3|467256|Arunta Orogen
72651|Grimwade Suite - group 4|467256|Arunta Orogen
21914|Grindall Formation|559170|Arnhem Province
33979|Groote Eylandt Group|512264|McArthur Basin
7869|Gum Tree Granite|467256|Arunta Orogen
33423|Gumtree Granite Suite|467256|Arunta Orogen
42371|Gunbarrel Granite|364772|Warumpi Province
42371|Gunbarrel Granite|467256|Arunta Orogen
25038|Gunpowder Creek Formation|467256|Arunta Orogen
25038|Gunpowder Creek Formation|556523|Mount Isa Orogen
25038|Gunpowder Creek Formation|559187|Century Domain
