genus,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Nothalosina,265.000,259.000,4,0,NaN
Notolosia,259.000,254.000,3,2,0.4787
Notospirifer,290.100,259.000,46,6,0.0258
Notostrophia,290.100,279.500,12,11,0.0475
Occidalia,290.100,279.500,2,2,0.0690
Orbiculoidea,360.700,279.500,7,3,0.0256
Orthis,339.400,336.000,1,0,NaN
Orthotetes,360.700,268.000,34,6,0.2365
Ovatia,345.300,326.400,1,0,NaN
Papulinella,290.100,279.500,17,6,0.0265
Paucispinauria,290.100,259.000,117,27,0.0922
Permasyrinx,295.000,268.000,30,16,0.0296
Phricodothyris,360.700,290.100,7,4,0.0647
Plekonella,290.100,259.000,17,7,0.0223
Plekonina,290.100,279.500,2,2,0.0113
Pleuropugnoides,345.300,326.400,20,0,NaN
Plicochonetes,360.700,326.400,6,1,0.1180
Podtsheremia,345.300,326.400,8,0,NaN
Productina,360.700,326.400,19,0,NaN
Productus,290.100,254.000,5,0,NaN
Prospira,360.700,326.400,17,0,NaN
Pseudodielasma,268.000,259.000,2,0,NaN
Pseudostrophalosia,290.100,259.000,154,14,0.1763
Pseudosyrinx,336.000,265.000,8,0,NaN
Psilocamara,290.100,279.500,2,0,NaN
Pterospirifer,290.100,272.500,2,0,NaN
Pugnax,360.700,345.300,1,0,NaN
Pulsia,336.000,326.400,1,0,NaN
Punctospirifer,360.700,279.500,17,1,0.0643
Pustula,360.700,326.400,17,1,0.0295
Pustuloplica,279.500,272.500,2,1,0.0161
Pustulospiriferina,295.000,259.000,35,24,0.0433
Quadratia,360.700,326.400,2,0,NaN
Quadrospira,295.000,272.500,30,16,0.2375
Quinquenella,279.500,272.500,1,0,NaN
Rawdonia,345.300,326.400,4,0,NaN
Reedoconcha,290.100,279.500,2,0,NaN
Reticularia,279.500,272.500,1,0,NaN
Reticulatia,345.300,314.600,2,0,NaN
Retimarginifera,279.500,268.000,12,8,0.7861
Rhipidomella,360.700,326.400,45,1,0.2413
Rhynchopora,345.300,295.000,11,2,1.0000
Rossirhynchus,360.700,345.300,1,0,NaN
Rotaia,345.300,326.400,3,0,NaN
Rugauris,345.300,326.400,1,0,NaN
Rugosochonetes,360.700,326.400,56,0,NaN
Saeptathaerus,295.000,254.000,8,0,NaN
Schellwienella,360.700,345.300,8,0,NaN
Schizophoria,360.700,326.400,45,1,0.0912
Schuchertella,360.700,279.500,39,3,0.0107
Scoloconcha,345.300,326.400,12,0,NaN
Sedecularia,279.500,272.500,2,2,0.0434
Semilingula,290.100,279.500,2,2,1.0000
Seminula,295.000,290.100,2,0,NaN
Siphonotreta,272.500,268.000,1,0,NaN
Spinomartinia,279.500,259.000,8,7,0.0504
Spinuliplica,326.400,314.600,18,0,NaN
Spirelytha,295.000,268.000,36,16,0.4178
Spirifer,360.700,265.000,45,1,0.1743
Spiriferella,295.000,265.000,16,6,0.5054
Spiriferellina,360.700,259.000,21,13,0.0524
Spirigerella,290.100,259.000,4,1,0.5000
Stegacanthia,336.000,326.400,3,0,NaN
Stenoscisma,360.700,254.000,6,0,NaN
Streptorhynchus,360.700,254.000,73,28,0.4270
Strophalosia,295.000,272.500,28,2,0.4082
Strophopleura,360.700,345.300,1,0,NaN
Subansiria,290.100,265.000,9,0,NaN
Sulcicosta,290.100,268.000,3,1,1.0000
Sulciplica,295.000,259.000,48,17,0.0450
Svalbardia,290.100,272.500,11,7,0.2582
Syrella,290.100,272.500,30,25,0.0516
Syringothyris,360.700,326.400,8,0,NaN
Tabellina,290.100,279.500,22,14,0.0868
Taeniothaerus,295.000,265.000,138,19,0.0766
Terebratula,272.500,265.000,4,0,NaN
Terrakea,295.000,259.000,339,74,0.2565
Tetracamera,360.700,345.300,1,0,NaN
Thomasaria,360.700,353.800,3,0,NaN
Tigillumia,279.500,259.000,12,5,0.1047
Tivertonia,290.100,279.500,10,0,NaN
Tomiopsis,295.000,254.000,107,56,0.2174
Tornquistia,295.000,272.500,15,10,0.4750
Trigonirhynchella,221.500,201.600,1,0,NaN
Trigonotreta,298.900,259.000,171,62,0.1128
Tulcumbella,360.700,353.800,2,0,NaN
Tweedaleia,290.100,265.000,10,1,0.0305
Tylothyris,360.700,326.400,15,1,0.0804
Unispirifer,360.700,326.400,41,0,NaN
Voiseyella,345.300,326.400,9,0,NaN
Waagenites,259.000,254.000,3,1,0.1250
Waagenoconcha,360.700,254.000,24,5,0.1540
Werriea,360.700,268.000,42,23,0.4516
Woolagia,290.100,279.500,1,1,0.1778
Wooramella,295.000,290.100,3,0,NaN
Wyndhamia,290.100,272.500,21,0,NaN
Yagonia,336.000,318.100,12,0,NaN
Yochelsonia,279.500,268.000,6,4,0.3082
Zugmayerella,221.500,201.600,1,0,NaN
