Stratno | Stratigraphic Name | Entity Number | Province Name 
15950|Red Lead Conglomerate|556736|Lachlan Orogen
15964|Red Rock Member|556736|Lachlan Orogen
16022|Renison Bell Formation|556736|Lachlan Orogen
27555|Rocky Cape Group|20348|Thylacine Province
37488|Rocky Cape Group and correlates|20413|Rocky Cape Block
28970|Rodondo Island Granite|556736|Lachlan Orogen
16260|Roland Conglomerate|556736|Lachlan Orogen
23945|Rooks River Granite|556736|Lachlan Orogen
16409|Royal George Granite|556736|Lachlan Orogen
16459|Russells Road Granite|556736|Lachlan Orogen
33788|Salisbury Hill Formation|556736|Lachlan Orogen
40956|Salmon River Siltstone|556736|Lachlan Orogen
16657|Scamander Tier Granodiorite|556736|Lachlan Orogen
26889|Schouten Island Granite|556736|Lachlan Orogen
16686|Scott Quartz Keratophyre|556736|Lachlan Orogen
25467|Sea Elephant Granite|556736|Lachlan Orogen
16821|Sheoak Hill Granite|556736|Lachlan Orogen
17136|Southwest Island Granite|556736|Lachlan Orogen
73820|St Marys Porphyry|556736|Lachlan Orogen
73820|St Marys Porphyry|559492|Melbourne-Mathinna Zone
17341|Stitt Quartzite|556736|Lachlan Orogen
26916|Strzelecki Granite|556736|Lachlan Orogen
17488|Success Creek Group|556736|Lachlan Orogen
17623|Table Cape Group|22295|Bass Basin
17883|Tasmanian Dolerite|20345|Tasmania Basin
18038|The Dutchman Granite|556736|Lachlan Orogen
26937|The Hazards Granite|556736|Lachlan Orogen
18067|Thompson Formation|556736|Lachlan Orogen
18145|Tiger Range Group|556736|Lachlan Orogen
28236|Tim Shea Sandstone|556736|Lachlan Orogen
26945|Timbs Group|20413|Rocky Cape Block
36813|Tippogoree Group|559492|Melbourne-Mathinna Zone
23016|Togari Group|20348|Thylacine Province
23016|Togari Group|556736|Lachlan Orogen
18315|Tombstone Creek Granite|556736|Lachlan Orogen
18441|Torquay Group|22295|Bass Basin
18441|Torquay Group|34874|Cape Wickham Sub-basin
41027|Torquay Sequence|22295|Bass Basin
24047|Truro Tillite|20345|Tasmania Basin
18654|Tulendeena Granite|556736|Lachlan Orogen
39202|Turritella bed|22295|Bass Basin
18803|Ulverstone Metamorphics|556736|Lachlan Orogen
24055|Unicorn Point granodiorite|556736|Lachlan Orogen
33465|Upper Blessington Granodiorite|556736|Lachlan Orogen
18944|Upper Parmeener Supergroup|20345|Tasmania Basin
19802|Westcott Argillite|556736|Lachlan Orogen
25620|White Spur Formation|556736|Lachlan Orogen
20535|Woody Island Siltstone|20345|Tasmania Basin
70300|Wybalenna Granodiorite|556736|Lachlan Orogen
27023|Wynyard Tillite|20345|Tasmania Basin
40988|turbidite sequence 40988|559492|Melbourne-Mathinna Zone
40989|turbidite sequence 40989|559492|Melbourne-Mathinna Zone
