Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
632|Arrinthrunga Formation|overlies|645|Arthur Creek Formation|conformity|
12476|Mount Baldwin Formation|underlies|645|Arthur Creek Formation|not specified|
17310|Steamboat Sandstone|overlies|645|Arthur Creek Formation|conformity|
18088|Thorntonia Limestone|underlies|645|Arthur Creek Formation|disconformity|
18012|Texas beds|is faulted against|705|Ashford Coal Measures||
18012|Texas beds|underlies|705|Ashford Coal Measures|unconformity|
18012|Texas beds|underlies|77318|Ashford Member|unconformity|
29759|Sugarbag Creek Quartzite|underlies|724|Astrea Formation|conformity|
1117|Barnard Metamorphics|underlies|733|Atherton Basalt|unconformity|
8404|Hodgkinson Formation|underlies|733|Atherton Basalt|unconformity|
19332|Walsh Bluff Volcanics|underlies|733|Atherton Basalt|unconformity|
25817|Bulimba Formation|underlies|24673|Aurukun Surface|not specified|
9394|Kelly Creek Formation|underlies|780|Austral Downs Limestone|unconformity|
14173|Ninmaroo Formation|underlies|780|Austral Downs Limestone|unconformity|
26297|Carron Rhyolite|overlies|24167|B Creek Rhyolite|conformity|
28247|Langlovale Group|underlies|24167|B Creek Rhyolite|unconformity|
24451|Parrot Camp Rhyolite|overlies|24167|B Creek Rhyolite|not specified|
1876|Blackwater Group|overlies|845|Back Creek Group|conformity|unconformably?
27363|Carmila beds|underlies|845|Back Creek Group|not specified|
32158|Goodedulla beds|overlies|845|Back Creek Group|not specified|
9951|Kuttung Formation|underlies|845|Back Creek Group|unconformity|
32161|Mount Benmore Volcanics|underlies|845|Back Creek Group|not specified|
40850|Black Cap Microdiorite|underlies|26361|Bagstowe Granite|not specified|
23356|Bally Knob Volcanics|overlies|40846|Balcooma Metavolcanic Group|unconformity|
4452|Connolly Volcanics|underlies|73063|Bald Hill Formation|unconformity|
35392|Ormoral Volcanics|overlies|73063|Bald Hill Formation|conformity|
27732|Campaspe Formation|overlies|36156|Balfes Creek beds|not specified|
19432|Warang Sandstone|is equivalent to|36156|Balfes Creek beds||
585|Argylla Formation|underlies|27702|Ballara Quartzite|unconformity|
4727|Corella Formation|overlies|27702|Ballara Quartzite|not specified|
25245|Mitakoodi Quartzite|underlies|27702|Ballara Quartzite|not specified|
26091|Overhang Jaspilite|overlies|27702|Ballara Quartzite|not specified|
23571|Edmonds Creek Rhyolite|overlies|27637|Ballynure Rhyolite|conformity|
26072|Nathan Group|overlies|21185|Balma Group|unknown|
21399|Burunga Formation|overlies|1024|Banana Formation|conformity|
6731|Flat Top Formation|underlies|1024|Banana Formation|conformity|
34919|Scotia Member|overlies|1024|Banana Formation|conformity|
20310|Wiseman Formation|overlies|1024|Banana Formation|not specified|
24726|Black Alley Shale|underlies|1032|Bandanna Formation|conformity|gradational contact
16054|Rewan Group|overlies|1032|Bandanna Formation|conformity|
21399|Burunga Formation|underlies|1078|Baralaba Coal Measures||
16054|Rewan Group|overlies|1078|Baralaba Coal Measures|unconformity|
20310|Wiseman Formation|underlies|1078|Baralaba Coal Measures||
6731|Flat Top Formation|overlies|27325|Barfield Formation||
14723|Oxtrack Formation|underlies|27325|Barfield Formation|conformity|
632|Arrinthrunga Formation|overlies|32954|Barkly Group|conformity|
2718|Brunette Limestone|overlies|32954|Barkly Group|unconformity|
8256|Helen Springs Volcanics|underlies|32954|Barkly Group|unconformity|
37962|Narpa Group|underlies|32954|Barkly Group|unconformity|
18088|Thorntonia Limestone|underlies|32954|Barkly Group|unconformity|
27089|Mount Holly Formation|overlies|1113|Barmundoo Formation|not specified|
26072|Nathan Group|overlies|1243|Bath Range Formation|unknown|
845|Back Creek Group|overlies|23365|Bathampton Metamorphics|not specified|
24184|Birimgan Formation|overlies|23365|Bathampton Metamorphics|not specified|
1886|Blair Athol Coal Measures|overlies|23365|Bathampton Metamorphics|not specified|
23942|Rolfe Creek Schist|overlies|23365|Bathampton Metamorphics|conformity|
23960|Scurvy Creek Meta-arenite|underlies|23365|Bathampton Metamorphics|not specified|
27911|Theresa Creek Volcanics|overlies|23365|Bathampton Metamorphics|not specified|
5157|Dalrymple Sandstone|underlies|77211|Bathurst Range Coal Measures||
7197|Gilbert River Formation|overlies|77211|Bathurst Range Coal Measures||
27723|Branch Creek Formation|overlies|1299|Baywulla Formation|not specified|
8404|Hodgkinson Formation|underlies|27976|Beapeo Rhyolite|unconformity|
3366|Cambalanga Tuff Member|overlies|1388|Beeswing Rhyolite|disconformity|
9007|Johngboon Rhyolite|overlies|1388|Beeswing Rhyolite|disconformity|
12910|Mount Marcella Volcanics|underlies|1388|Beeswing Rhyolite|unconformity|
20523|Woodmillar Andesite|underlies|1388|Beeswing Rhyolite|disconformity|
8675|Inca Formation|overlies|1389|Beetle Creek Formation|not specified|
