Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41733|Smith, B.L., Lawrence, R.B.|1989|Aspects of exploration and development, Vulcan Sub-basin, Timor Sea.|APEA Journal|29(1)|p546-556
41741|Johnson, G.I., Cooper, J.A., Blight, D.F.|1989|The geology and geochronology of a Proterozoic trachyandesite plug, Murchison Province, Yilgarn Block, Western Australia.|Australian Journal of Earth Sciences|36(3)|p319-336
41751|Cockbain, A.E., Hocking, R.M.|1989|Revised stratigraphic nomenclature in Western Australian Phanerozoic basins.|Geological Survey of Western Australia. Record|1989/15|
41759|Charlton, T.R.|1989|Stratigraphic correlation across an arc-continent collision zone: Timor and the Australian Northwest Shelf.|Australian Journal of Earth Sciences|36(2)|p263-274
41767|DiMarco, M.J., Lowe, D.R.|1989|Shallow-water volcaniclastic deposition in the Early Archean Panorama Formation, Warrawoona Group, eastern Pilbara Block, Western Australia.|Sedimentary Geology|64(1-3)|p43-63
41768|Williams, I.R., Tyler, I.M.|1989|Explanatory notes on the Robertson 1:250 000 geological sheet Western Australia. (Second edition).|Geological Survey of Western Australia. Record|1989/5(2nd ed.)|
41771|Griffin, T.J.|1989|Explanatory notes on the Widgiemooltha 1:250 000 geological sheet Western Australia. (Second edition).|Geological Survey of Western Australia. Record|1989/4(2nd ed.)|
41780|Backhouse, J., Wilson, A.C.|1989|New records of Permian and Cretaceous sediments from the southwestern part of the Yilgarn Block.|Geological Survey of Western Australia. Report|25|p1-5
41781|Deeney, A.C.|1989|Hydrogeology of the Binningup borehole line, Perth Basin.|Geological Survey of Western Australia. Report|25|p7-16
41782|Hirschberg, K-J.B.|1989|Busselton shallow-drilling groundwater investigation, Perth Basin.|Geological Survey of Western Australia. Report|25|p17-37
41783|Moncrieff, J.S., Tuckson, M.|1989|Hydrogeology of the superficial formations between Lancelin and Guilderton.|Geological Survey of Western Australia. Report|25|p39-57
41784|Swager, C.|1989|Structure of Kalgoorlie greenstones - regional deformation history and implications for the structural setting of the Golden Mile gold deposits.|Geological Survey of Western Australia. Report|25|p59-84
41785|Wilson, A.C.|1989|Palaeocurrent patterns in the Collie Coal Measures - the implications for sedimentation and basin models.|Geological Survey of Western Australia. Report|25|p85-91
41786|Witt, W.K., Swager, C.P.|1989|Structural setting and geochemistry of Archaean I-type granites in the Bardoc-Coolgardie area of the Norseman - Wiluna Belt, Western Australia.|Precambrian Research|44(3/4)|p323-351
