**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on August 5, 2014
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
D44/f0049		Outcrop	JGB 1983					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 1983	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f0117		Outcrop						Waterhouse, J.B.; 	1995	Braxtonian				276.0	259.8		GNS GS 15228		
D44/f0141		Outcrop	JGB 1906					Begg, J.G.; 	October 13, 1980	Etalian				245.5	238.0		JGB 1906		
D44/f0141		Outcrop	JGB 1906					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JGB 1906	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f0143		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12651		
D44/f0143		Outcrop						Olivecrona, Y.M.; 	November 8, 1982	no fossils				999.9	0.0		GNS L 9881		
D44/f0144		Outcrop						Campbell, H.J.; 	March 24, 1981	Waiitian	?			254.2	253.2		GNS GS 12658	FRAGMENTS.	
D44/f0145		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12649		
D44/f0146		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12648		
D44/f0147		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12647	GOOD SOLITARY CORAL.	
D44/f0148		Outcrop						Campbell, H.J.; 	March 24, 1981	Puruhauan				259.8	254.2		GNS GS 12646	ABUNDANT BURROWS, TRACE FOSSILS. WOOD AND PLANT FRAGMENTS.	
D44/f0148		Outcrop						Olivecrona, Y.M.; 	April 23, 1981								GNS L 9863		
D44/f0149		Outcrop						Campbell, H.J.; 	March 25, 1981	Waiitian				254.2	253.2		GNS GS 13009	BRACHIOPOD FRAGMENTS INDET. SOLITARY CORAL	
D44/f0149		Outcrop						Olivecrona, Y.M.; 	November 8, 1982	no fossils				999.9	0.0		GNS L 9882		
D44/f0150		Outcrop						Olivecrona, Y.M.; 	March 15, 1981	no fossils				999.9	0.0		GNS L 9864		
D44/f0150		Outcrop						Campbell, H.J.; 	March 25, 1981	Waiitian	?			254.2	253.2		GNS GS 13010		
D44/f0151		Outcrop						Campbell, H.J.; 		Waiitian				254.2	253.2		GNS GS 13008	BRACHIOPOD FRAGMENTS INDET. SOLITARY CORAL.	
D44/f0151		Outcrop						Olivecrona, Y.M.; 	April 14, 1981	no fossils				999.9	0.0		GNS L 9865		
D44/f0152		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12650		
D44/f0153		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12652	GASTROPOD INDET.	
D44/f0154		Outcrop						Campbell, H.J.; 	March 24, 1981	Waiitian				254.2	253.2		GNS GS 12653	BRACIOPOD SHELL FRAGMENTS INDET. ?BIVALVIA SHELL FRAGMENTS INDET.	
D44/f0155		Outcrop						Campbell, H.J.; 		Makarewan				253.2	251.0		GNS GS 12655	SOLITARY CORAL.	
D44/f0155		Outcrop						Olivecrona, Y.M.; 	June 29, 1981								GNS L 9883		
D44/f0155A		Outcrop	PC4					Begg, J.G.; 	May 12, 1983	Makarewan				253.2	251.0		GNS GS 13508		
D44/f0155A		Outcrop	PC4					Olivecrona, Y.M.; 	January 9, 1985								GNS L 12712	ACRITARCHS COMMON, SPORES RARE. PLENTY OF ORGANIC DETRITAL MATERIAL ON SLIDES.	
D44/f0156		Outcrop						Campbell, H.J.; 	March 24, 1981	Makarewan				253.2	251.0		GNS GS 12656		
D44/f0157		Outcrop						Campbell, H.J.; 	March 24, 1981	Waiitian				254.2	253.2		GNS GS 12657	SHELL FRAGMENTS INDET.	
D44/f0176		Outcrop	131					Campbell, H.J.; 	February 8, 1982	D'Urville Series				259.8	251.0		GNS GS 13143		
D44/f0176		Outcrop	131					Olivecrona, Y.M.; 	October 18, 1982	no fossils				999.9	0.0		GNS L 10360	GS13143.	
D44/f0184		Outcrop	PC3					Begg, J.G.; 	May 12, 1983	Makarewan				253.2	251.0		GNS GS 13524		
D44/f0192		Outcrop	PC 11A					Begg, J.G.; 	May 12, 1983	Braxtonian				276.0	259.8		GNS GS 13510		
D44/f0204		Outcrop	MI					Begg, J.G.; 	May 12, 1983	Permian				298.9	252.2		GNS GS 13511		
D44/f0204		Outcrop	MI					Olivecrona, Y.M.; 	January 8, 1986	no fossils				999.9	0.0		GNS L 12710	SOME MODERN CONTAMINATION.	
D44/f0222		Outcrop	McF H18 JDC3737					MacFarlan, D.A.B.; 	January 1982	Etalian				245.5	238.0		H18 JDC3737	Also an object with spines that is unidentified.	
D44/f0222		Outcrop	McF H18 JDC3737					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 3737	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f0223		Outcrop	H14 JDC2021														2021(82)		
D44/f0223		Outcrop	H14 JDC2021					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 2021	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f0232		Outcrop	HJC1162					Campbell, H.J.; 	May 11, 1987	Mangapirian				285.0	276.0		GNS GS 14312		
D44/f0234		Outcrop	HJC1164					Campbell, H.J.; 	October 19, 1987	Mangapirian				285.0	276.0		GNS GS 14310		
D44/f0235		Outcrop	HJC1165					Campbell, H.J.; 	October 19, 1987	Mangapirian				285.0	276.0		GNS GS 14309		
D44/f0236		Outcrop	HJC1139					Campbell, H.J.; 	October 19, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14318		
D44/f0238		Outcrop	HJC143					Campbell, H.J.; 	October 19, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14320		
D44/f0239		Outcrop	HJC1144					Campbell, H.J.; 	October 19, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14321		
D44/f0240		Outcrop	HJC1153					Campbell, H.J.; 	October 20, 1987	Telfordian				288.5	285.0		GNS GS 14325		
D44/f0241		Outcrop	HJC1154					Campbell, H.J.; 	October 16, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14326		
D44/f0242		Outcrop	HJC1155					Campbell, H.J.; 	October 16, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14327		
D44/f0243		Outcrop	HJC1156					Campbell, H.J.; 	October 19, 1987	Aparima Series		D'Urville Series		288.5	251.0		GNS GS 14328		
D44/f0285		Outcrop	JDC3824 JGB WH2 754					MacFarlan, D.A.B.; 	1984										
D44/f0285		Outcrop	JDC3824 JGB WH2 754					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 3824	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f0286		Outcrop	JGB WH4 JDC 3826					MacFarlan, D.A.B.; 	1984	Etalian				245.5	238.0				
D44/f0286		Outcrop	JGB WH4 JDC 3826					MacFarlan, D.A.B.; 	1992	Etalian				245.5	238.0		Otago U OU JDC 3826	MacFarlan, D.A.B. 1992 Triassic and Jurassic Rhynchonellacea (Brachiopoda) from New Zealand and New Caledonia. Royal Society of New Zealand Bulletin 31: 310pp	
D44/f7562	S150/f0562	Outcrop						Scott, G.L.; 	September 1, 1974	Aparima Series		Braxtonian		288.5	259.8				
D44/f9001	S159/f1001	Outcrop						Waterhouse, J.B.; 	1963	Braxtonian				276.0	259.8		GNS GS 9697	BRACHIOPOD DETERMINATIONS PUBLISHED WATERHOUSE 1968, PALEONT. 129 AND WATERHOUSE 1982 PAL.BULL. 48. BIVALVE DETERMINATIONS PUBLISHED WATERHOUSE 1980, JRSNZ 10 (1): 97-133 AND WATERHOUSE 1982, PAL.BULL. 49.	
