Reference Id | Author | Year | Title | Source | Vol/Part | Pages
41742|Farrell, T.R., Offler, R.|1989|Greenschist facies metamorphism of a rift basin sequence, Breadalbane, NSW.|Australian Journal of Earth Sciences|36(3)|p337-349
41746|Fowler, T.J.|1989|Superposed folding in the Rockley district, Lachlan Fold Belt, New South Wales.|Australian Journal of Earth Sciences|36(3)|p451-468
41747|Fielding, C.R.|1989|Hummocky cross-stratification from the Boxvale Sandstone Member in the northern Surat Basin, Queensland.|Australian Journal of Earth Sciences|36(3)|p469-471
41755|Orth, K., Cas, R.A.F., Wright, J.V.|1989|Facies analysis and facies associations in the recognition of volcanic centres in silicic terranes: An example from the Early Devonian of Australia.|Australian Journal of Earth Sciences|36(2)|p167-188
41765|Tickell, S.J.|1989|Dookie, 1:100 000 map, geological report.|Geological Survey of Victoria. Report|87|
41770|Young, G.M., Gostin, V.A.|1989|Depositional environment and regional stratigraphic significance of the Serle Conglomerate: A Late Proterozoic submarine fan complex, South Australia.|Palaeogeography, Palaeoclimatology, Palaeoecology|71(3/4)|p237-252
41778|Cranfield, L.C., Murray, C.G.|1989|New and revised intrusive units in the Maryborough 1:250 000 sheet area southeast Queensland.|Queensland Government Mining Journal|90(1053)|p369-378
41779|Dodson, J.R., Wright, R.V.S.|1989|Humid to arid to subhumid vegetation shift on Pilliga Sandstone, Ulungra Springs, New South Wales.|Quaternary Research|32(2)|p182-191
41790|Cranfield, L.C., Murray, C.G.|1989|Geochemistry of basaltic rocks from the Gayndah region in the Maryborough 1:250 000 sheat area, southeast Queensland.|Queensland Government Mining Journal|90(1055)|p469-480
41791|Loosveld, R.J.H.|1989|The intra-cratonic evolution of the central eastern Mount Isa Inlier, northwest Queensland, Australia.|Precambrian Research|44(3/4)|p243-276
41793|Brown, A.V., McClenaghan, M.P., Turner, N.J., Baillie, P.W., McClenaghan, J., Calver, C.R.|1989|Huntley, Tasmania, geological atlas 1:50 000 series. Sheet 73 (8112N).|Geological Survey of Tasmania. Explanatory Report|1v|
41796|Morris, P.A.|1988|Volcanic arc reconstruction using discriminant function analysis of detrital clinopyroxene and amphibole from the New England Fold Belt, eastern Australia.|Journal of Geology|96(3)|p299-312
41798|Ashley, P.M., Franklin, B.J., Ray, A.S.|1983|Plagiogranites in the Coolac ophiolite suite, New South Wales, Australia.|Geological Magazine|120(1)|p1-20
41800|McPhie, J.|1983|Outflow ignimbrite sheets from Late Carboniferous calderas, Currabubula Formation, New South Wales, Australia.|Geological Magazine|120(5)|p487-503
41801|Walter, M.R., Elphinstone, R., Heys, G.R.|1989|Proterozoic and Early Cambrian trace fossils from the Amadeus and Georgina Basins, central Australia.|Alcheringa|13(3)|p209-256
41807|Baker, E.M.|1988|The Kidston gold deposit.|James Cook University, North Queensland. Economic Geology Research Unit. Contributions|29|p61-74
41809|Dickins, J.M.|1989|Youngest Permian marine macrofossil fauna from the Bowen and Sydney Basins, eastern Australia.|BMR Journal of Australian Geology and Geophysics|11(1)|p63-79
41810|Qizheng, W., Mills, K.J., Webby, B.D., Shergold, J.H.|1989|Upper Cambrian (Mindyallan) trilobites and stratigraphy of the Kayrunnera Group, western New South Wales.|BMR Journal of Australian Geology and Geophysics|11(1)|p107-118
41821|MacRae, G.P.|1989|Geology of the Lachlan Downs 1:100 000. Sheet 8033.|Geological Survey of New South Wales|1v|
41822|Aitchison, J.C.|1988|Early Carboniferous Radiolaria from the Neranleigh-Fernvale beds near Brisbane.|Queensland Government Mining Journal|89(1039)|
41826|Engel, B.A., Morris, L.N.|1989|Early Carboniferous trilobites (Weaniinae) of eastern Australia.|Alcheringa|13(3/4)|p305-346
41827|Stubley, M.P.|1989|Structural analysis of the Mystery Bay area, New South Wales .|Australian Journal of Earth Sciences|36(4)|p479-493
41832|Bull, S.W., Cas, R.A.F.|1989|Volcanic influences in a storm- and tide-dominated shallow m arine depositional system: The Late Permian Broughton Format ion, southern Sydney Basin, Kiama, NSW.|Australian Journal of Earth Sciences|36(4)|p569-584
41834|Glen, R.A., Beckett, J.|1989|Geological note. Thin-skinned tectonics in the Hunter Coalfield of New South Wales.|Australian Journal of Earth Sciences|36(4)|p589-593
41848|Lawrence, C.R., Kenley, P.R., Jenkin, J.J., Gill, E.D., Macumber, P.G., Neilson, J.L.|1988|Quaternary. IN Douglas J.G. and Ferguson J.A. (eds) - Geology of Victoria. Chapter 9.|Geological Society of Australia. Victorian Division|1v|p351-402
41849|Jenkin, J.J., Joyce, E.B.|1988|Geomorphology. IN Douglas J.G. and Ferguson J.A. (eds) - Geology of Victoria. Chapter 10.|Geological Society of Australia. Victorian Division|1v|p403-426
41850|White, A.J.R., Chappell, B.W., Price, R.C., Gray, C.M., Nicholls, I.A., Day, A.|1988|Petrology of igneous rocks. IN Douglas J.G. and Ferguson J.A. (eds) - Geology of Victoria. Chapter 11.|Geological Society of Australia. Victorian Division|1v|p427-452
41853|Jenkins, R.J.F., Hasenohr, P.|1989|Trilobites and their trails in a black shale: Early Cambrian of the Fleurieu Peninsula, South Australia.|Royal Society of South Australia. Transactions|113(4)|p195-203
41857|England, B.M., Sutherland, F.L.|1988|Volcanic zeolites and associated minerals from New South Wales.|Mineralogical Record|19(6)|p389-406
41859|Birch, W.D., van der Heyden, A.|1988|Minerals from the Kintore opencut, Broken Hill New South Wal es.|Mineralogical Record|19(6)|p425-436
41863|Kiernan, K.|1988|The geomorphology of the Jenolan Caves area.|Helictite|26(2)|p7-21
41868|Douglas, J.G., Ferguson, J.A.|1988|Geology of Victoria. Chapter 12: Economic geology.|Geological Society of Australia. Victorian Division|1v|p453-602
41869|Pickett, J.W., Ingpen, I.A.|1990|Ordovician and Silurian strata south of Trundle, New South Wales.|Geological Survey of New South Wales. Quarterly Notes|78|p2-14
41870|Lottermoser, B.G.|1989|Rare-earth element behaviour associated with strata-bound scheelite mineralisation (Broken Hill, Australia).|Chemical Geology|78(2)|p119-134
41871|Spencer, R.|1990|Aeromagnetic interpretation of the Owendale Intrusive Complex at Fifield.|New South Wales. Department of Minerals and Energy. Minfo|26|p1-6
41872|Glen, R.|1990|Cobar ACORP Transect.|New South Wales. Department of Minerals and Energy. Minfo|26|p7-9
41888|McNaughton, N.J., de Laeter, J.R., Groves, D.I.|1989|Constraints on the source of strontium and alkalis in aurife rous alteration zones at Hunt mine, Kambalda, Norseman-Wilun a Belt. IN Ho S.E. & Groves D.I. (eds) - Advances in unders tanding Precambrian gold deposits vol.2.|University of Western Australia. Department of Geology. Publication|12|p209-215
41893|Beeston, J.|1989|Rocks in the rough are still the key to success.|Queensland Government Mining Journal|90(1056)|p514-516
41898|Chen, Y.D., Price, R.C., White, A.J.R.|1989|Inclusions in three S-type granites from southeastern Austra lia.|Journal of Petrology|30(5)|p1181-1218
41899|Chenhall, B.E., Carr, P.F., Jones, B.G.|1989|Fluorapophyllite from Potassic endoskarns at Marulan South, New South Wales.|Australian Mineralogist|4(4)|p126-131
41902|Kellett, J.R., Williams, B.G., Ward, J.K.|1989|Hydrogeochemistry of the upper Hunter River Valley, New South Wales.|Bureau of Mineral Resources, Australia. Bulletin|221|
41903|Kellett, J.R., Williams, B.G., Ward, J.K.|1985|Geology of the upper Hunter River Valley. In Kellett J.R., Williams B.G. & Ward J.K. - Hydrogeochemistry of the Hunter River valley, New South Wales.|Bureau of Mineral Resources, Australia. Bulletin|221 Plates (maps)|Plate 1 (map)
41904|Kellett, J.R., Williams, B.G., Ward, J.K.|1985|Hydrogeochemical provinces and sampling locations of the upper Hunter River Valley. IN Kellett J.R., Williams B.G. & Ward J.K. - HYdrogeochemistry of the upper Hunter River valley, New South Wales.|Bureau of Mineral Resources, Australia. Bulletin|221 Plates (maps)|Plate 2 (map)
41905|White, A.J.R., Chappell, B.W.|1989|Geology of the Numbla 1:100 000 sheet 8624.|Geological Survey of New South Wales|1v|
41906|Cranfield, L.C., Hutton, L.J., Green, P.M.|1989|Ipswich, Queensland. Sheet 9442.|Queensland. Department of Mines 1:100 000 Geological Map Commentary|1v|
41911|Bacon, C.A., Banks, M.R.|1989|A history of discovery, study and exploitation of coal in Tasmania.|Royal Society of Tasmania, Papers and Proceedings|123|p137-189
41916|Withnall, I.|1990|Geology of the Ewan area, north Queensland.|Queensland Government Mining Journal|91(1058)|p25-34
41917|Scott, M.|1989|Exploration summary. Gympie/Goomeri/Nambour/Nanango 1:100 000 Sheet area.|Queensland Government Mining Journal|90(1056)|p521-531
41919|Cas, R.A.F., Allen, R.L., Bull, S.W., Clifford, B.A., Wright, J.V.|1990|Subaqueous, rhyolitic dome-top tuff cones: a model based on the Devonian Bunga Beds, southeastern Australia and a modern analogue.|Bulletin of Volcanology|53(3)|p151-174
41922|Murray, C.G., Cranfield, L.C.|1989|Geology of the Rockhampton region.|Geological Society of Australia. Queensland Division. Field Conference|1989|p1-19
41923|Dear, J.F.|1989|The Connors Volcanics and associated gold mineralisation at Mount MacKenzie, central Queensland.|Geological Society of Australia. Queensland Division. Field Conference|1989|p20-27
41925|Krosch, N.J.|1989|Limestone in central Queensland.|Geological Society of Australia. Queensland Division. Field Conference|1989|p42-50
41927|Coshell, L., McIver, R.G.|1989|Geology of the Kerosene Creek Member, Stuart oil shale deposit, central Queensland.|Geological Society of Australia. Queensland Division. Field Conference|1989|p59-76
