Stratigraphic Name | Stratno |  Previous Name  |Previous Name Stratno| Replacement Name | Replacement Name Stratno |Is Current | Rank | Status | Category | Usage | Parent Name | Parent Stratno | Chemical Parent Name | Chemical Parent Stratno | Top Minimum Age Name | Top Minimum Age (Ma) | Top Minimum Age Error (Ma)| Top Minimum Age Method | Base Maximum Age Name | Base Maximum Age (Ma) | Base Maximum Age Error (Ma) | Base Maximum Age Method | Minimum Thickness (m) | Maximum Thickness (m) | Type Section State | Definition Card | First ref as on form | Def ref as on form | Reserved by | Resdate | Approved by | Approved date |General Comments | Lithology Description | Primary Lithology Group | Secondary Lithology Group | Tectonic Setting | Intrusive | Granite Type
Cosgrove Porphyry|4764|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Early Devonian||||Late Silurian||||||NSW|Yes|32820|36413|Richardson S.J.|01/MAY/07|Hawke, J.|20/FEB/79|Different unit from Cosgrove Leucitite (Vic.)|Quartz-feldspar porphyry.|igneous felsic intrusive|||Y|
Cowridge Siltstone|4813|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Hattons Corner Group|8145|||Pridoli||||Pridoli|||||||No|31852||||||Formerly of the Barambogie Group, now included in the Hattons Corner Group.|Interbedded siltstone, fine-grained sandstone, mudstone. Also includes an upper and lower mudstone subunit.||||N|
Deakin Volcanics|25874|||||Yes|Formation, beds|Formal|Unknown or process pending|Redefined|Douro Group|5668|Laidlaw Volcanic Suite|10023|Ludlow||||Ludlow|||||1500|NSW|Yes|43385|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233.|Rhyodacitic ignimbrite and minor volcaniclastic and argillaceous sediments|igneous felsic volcanic|||N|
Douro Group|5668|Douro Volcanics|5674|||Yes|Group, Suite|Formal|Variation of published name|Defined|||||Ludlow||||Llandovery||||||NSW|No|30731|35070|||||Used on the new GOULBURN 1:250 000 sheet (2006) also. Includes Hawkins Volcanics, age: 433.7 Ma.|||||N|
Federal Golf Course Tonalite|24274|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||Federal Suite|31675|Early Devonian||||Late Silurian|417|8||||ACT|Yes|42820|42820|Abell, R.S.|29/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233. BD in 94/27660. BD as Federal Golf Course Granite in 94/27659.|Tonalite|igneous felsic intrusive|||Y|
Federal Suite|31675|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||||Early Devonian||||Late Silurian|||||||No|42726|||||||||||Y|
Foxlow beds|6880|Foxlow Beds|24990|||Yes|Formation, beds|Informal|Variation of published name|Briefly described|||||Early Silurian||||Ordovician|||||||No|42294|||||||||||N|
Fyshwick Gravel|6942|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Permian||||Permian|||||||No|44970|44970||||||Quartz pebble gravel, coarse sandstone.||||N|
Ginninderra Porphyry|7262|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||||Ludlow||||Ludlow||||||NSW|No|36441|45147|M.Owen|27/AUG/74|||Card.|Intrusive red porphyry with quartz, plagioclase and mafic phenocrysts, rare K-feldspar megacrysts|igneous felsic intrusive|||Y|I-type
Gladefield Volcanics|7302|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Late Silurian||||Silurian|||||||No|12185|||||||Acid lavas, tuff, ashstone, interbedded shale.||||N|
Glebe Farm Adamellite|7324|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Late Silurian||||Late Silurian|||||||No|31284|||||||||||Y|
Greenwood Granite|7780|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Early Devonian||||Late Silurian|||||||No|39800|||||||Biotite granite.||||Y|
Gungoandra Siltstone|7908|Gungoandra Siltstone Member|7907|||Yes|Formation, beds|Formal|Variation of published name|Defined|Bendoc Group|1474|||Llandovery||||Llandovery|||||100||No|42294|22815||||||Siliceous mudstone and fine grained quartzites|argillaceous detrital sediment|||N|
Hattons Corner Group|8145|||||Yes|Group, Suite|Formal|Other new published name|Fully described|||||Lochkovian||||Ludlow|||||||No|31852|||||||Fossiliferous shale, mudstone, siltstone, black shale, limestone, quartz-lithic sandstone|argillaceous detrital sediment|||N|
Hawkins Suite|8179|Hawkins Volcanic Suite|8182|||Yes|Group, Suite|Formal|Variation of published name|Described|||||Devonian||||Silurian|434.8|4.3|isotopic, U/Pb-Pb/Pb ion probe||||No|41563||||||Defined as Hawkins Volcanic Suite, but name subsequently simplified. Probably part of Bullenbalong Supersuite. See also RefID 67060 p505.|||||Y|S-type
Hawkins Volcanics|8184|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Douro Group|5668|Hawkins Suite|8179|Wenlock|433.7|3|isotopic, U/Pb-Pb/Pb ion probe|Llandovery|434.8|4.3|isotopic, U/Pb-Pb/Pb ion probe||1770||No|33325||||||Assigned to the Bullenbalong Suite (Bullenbalong Supersuite) on Lachlan Fold Belt Granites map (1991). Assigned to the Hawkins Volcanic Suite in the Canberra 1:100k sheet area (1991), but this name simplified to Hawkins Suite (probably Bullenbalong Supersuite). Assigned to the Douro Group in the YASS 1:100k sheet area (1978). See also RefID 67060 p505.|Blue-grey, massive, often welded, porphyritic biotite-cordierite-garnet rhyolitic to dacitic ignimbrite. Occasional qtz + dioritic xenoliths. Flow-banded, vesicular rhyodacitic-dacitic lava, volc.sst., minor rhyodacitic agglom.and rhyolitic lapilli tuff|igneous felsic volcanic|||N|
Hoskinstown Group|8512|||||Yes|Group, Suite|Formal|Unknown or process pending|Defined|||||Ludlow||||Wenlock|||||5000|ACT|Yes|48878|42820|||||Previously Captains Flat Group (Glasson and Paine, 1965).|||||N|
Jervis Bay Sandstone|8945|||||Yes|Formation, beds|Formal|Variation of published name|Described||||||||||||||||No|41356||||||See also Jervis Bay Sandstone"".|Includes; sandstone, conglomerate, siltstone.||||N|
Kohinoor Volcanics, Copper Creek Shale|42279|||||Yes|Subgroup|Informal|Variation of published name|Not recorded|Hoskinstown Group|8512|||Late Silurian||||Late Silurian|||||||No|||||||Informal grouping of units to be used for New South Wales 1:1 million geological map, National Maps Project.|Rhyodacitic ignimbrite, agglomerate; dark grey shale, siltstone, limestone, quartzite with conglomerate|igneous felsic volcanic|sedimentary siliciclastic||N|
Laidlaw Volcanics|10024|Laidlaw Volcanic Suite|10023|||Yes|Formation, beds|Formal|Variation of published name|Defined|Douro Group|5668|Laidlaw Volcanic Suite|10023|Late Silurian|420.7|2.2|isotopic, K/Ar|Wenlock|431.8|4.3|isotopic, U/Pb-Pb/Pb ion probe||1000|ACT|No|32106|42820|||||See also RefID 67060 p505.|Dark to light grey, very coarse-grained, porphyritic, rhyodacitic ignimbrite. Sporadically grades to a coarse-grained equigranular ignimbrite. Rare columnar structure.|igneous felsic volcanic|||N|S-type
Livingstone Porphyry|10511|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Early Devonian||||Early Devonian||||||NSW|Yes|32820|36413|Richardson S.J.||Hawke, J.|20/FEB/79||Dacitic intrusive porphyry, minor xenoliths|igneous felsic intrusive|||Y|
London Bridge Formation|10603|||||Yes|Formation, beds|Formal|Unknown or process pending|Briefly described|||||Ludlow||||Ludlow|||||||No|33325||||||Name appears to be used interchangably with London Bridge Limestone.|Calcareous shale, limestone, sandstone, tuff, porphyry, altered acid lavas.||||N|
Long Flat Volcanics|10619|Long Flat Porphyry|10617|||Yes|Formation, beds|Formal|Unknown or process pending|Defined|Bindook Group|69879|Glenbog Suite|7361|Early Devonian||||Early Devonian||||||NSW|Yes|34059|40276|||NSW SNSC|20/FEB/76|The ages of all dated units in the LFV are indistinguishable from each other and the "northern phase" of the Braidwood Granodiorite [ refID 66300, 2010].|Porphyritic rhyolite to dacite, ignimbrite; minor quartzose and volcaniclastic sandstone, siltstone|igneous felsic volcanic|||N|
Lyons Ashstone|32172|||||Yes|Formation, beds|Formal|Variation of published name|Briefly described||||||||||||||||No|43159||||||Invalid name|||||N|
McDonald Granite Porphyry|22286|||||Yes|Formation, beds|Formal|Resvd name published|Defined|||||Late Silurian||||Late Silurian||||||NSW|No|36441|45147|D.Wyborn|27/AUG/74|||Card. Reserved as an ACT name. Publ. in BMR Bull 204 as NSW name. Defined. Also incorrectly published and indexed as McDonald Granite.|||||Y|S-type
Mount Ainslie Volcanics|12438|Ainslie Volcanics|181|||Yes|Formation, beds|Formal|Variation of published name|Defined|Douro Group|5668|Hawkins Suite|8179|Wenlock||||Wenlock||||700||NSW|Yes|39975|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233. Approved by A. Waltho 17-MAY-1990?|Dacitic ignimbrite, minor ashstone, agglomerate and shale; porphyry|igneous felsic volcanic|||N|
Mount Majura Volcanics|31120|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|43481|||||||||||N|
Mount Painter Volcanics|24403|Mount Painter Porphyry|12996|||Yes|Formation, beds|Formal|Variation of published name|Redefined|Douro Group|5668|Hawkins Suite|8179|Wenlock||||Wenlock|||||1000|ACT|Yes|35325|42820|Abell, R.S. (after Opik 1958)|29/OCT/90|Brakel, A.|26/OCT/90|Defined in BMR Bulletin 233.|Dacitic ignimbrite with lithic xenoliths and dacitic autoliths, tuffaceous sandstone and siltstone, minor tuff and ashstone|igneous felsic volcanic|||N|
Mount Taylor Volcanics|31119|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|43481||||||Not to be confused with Mount Taylor nomenclature in Victoria.|||||N|
Mount Tuggeranong Volcanics|31121|||||Yes|Formation, beds|Formal|Other new published name|Mentioned||||||||||||||||No|43481||||||Probably an informal name.|||||N|
Mountain Creek Suite|32033|||||Yes|Group, Suite|Formal|Other new published name|Described|||||Early Devonian||||Early Devonian|||||||No|43158|||||||||||Y|
Mountain Creek Volcanics|13264|Mountain Creek volcanics|13266|||Yes|Formation, beds|Formal|Other new published name|Redefined|Black Range Group|1812|Mountain Creek Suite|32033|Pragian||||Lochkovian|406|1|isotopic, Rb/Sr||5000|NSW|No|39800|22638|||||Of the Boggy Plain Suite (Boggy Plain Supersuite) on Lachlan Fold Belt granites map (94/27659).|Rhyolite lava, ignimbrite, tuff; lesser dacite, andesite, agglomerate, feldspathic sandstone, siltstone, black shale|igneous felsic volcanic|sedimentary siliciclastic||N|
Mugga Mugga Porphyry Member|24407|Mugga Mugga Porphyry|13330|||Yes|Member, phase|Formal|Unknown or process pending|Redefined|Deakin Volcanics|25874|||Ludlow||||Ludlow|414|9|||400|ACT|Yes|36633|42820|Abell, R.S. (after Henderson, G.A.M., after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|Defined in BMR Bulletin 233. Maximum thickness measurements/estimates/guesstimates range from 300m to 600m.|Compact blue and mauve-grey porphyritic rhyodacite, volcaniclastic and waterlaid epiclastic tuff, tuffaceous shale.||||U|
Mumbil Group|13411|Mumbil Formation|25307|||Yes|Group, Suite|Formal|Variation of published name|Defined|||||Devonian||||Early Silurian|||||3000||No|32154|23170||||||Characterised by widespread shale, fine sandstone/siltstone and carbonate deposition, in many areas in conjunction with felsic volcanic eruptive centers of rhyolitic to dacitic composition.||||N|
Mundoonen Sandstone|13443|Mundoonen Series|13446|||Yes|Formation, beds|Formal|Variation of published name|Fully described|Margules Group|69897|||Llandovery||||Llandovery|||||||No|34405|||||||Thick-bedded massive to graded med-gr. granule quartzose to lithic-quartz sst.; thinly bedded, massive-fine- to med.gr.quartzose-lithic-qtz sst.interbedded with x-lam.sst; with 2 quartzose to lithic-quartz subunits, thinly and thickly bedded respectively.|sedimentary siliciclastic|||N|
Muriarra Formation|13516|||||Yes|Formation, beds|Formal|Other new published name|Described|||||Ordovician||||Ordovician|||||||No|43385|||||||||||N|
Murrumbateman Creek Formation|13560|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Early Silurian||||Early Silurian|||||900|ACT|Yes|29992|42820|Abell, R.S.|03/OCT/07||||Sandstone, siltstone and shale|sedimentary siliciclastic|||N|
Narrabundah Ashstone Member|24420|Narrabundah Ashstone|13889|||Yes|Member, phase|Formal|Variation of published name|Redefined|Canberra Formation|3447|||Late Wenlockian||||Late Wenlockian|||||70|ACT|Yes|36633|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|Defined in BMR Bulletin 233.|Massive tuffaceous arenite, fine to medium grained tuff, and ashstone.||||N|
Nungar beds|14394|Nungar Beds|14392|||Yes|Formation, beds|Informal|Variation of published name|Fully described|||||Eastonian||||Darriwilian|||||||No|45147||||||See also Nungar Group, published 2007.|Quartz arenite, siltstone and shale (distal flysch sequence), black shale|sedimentary siliciclastic|||N|
Ordovician sedimentary rocks 76682|76682|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Late Ordovician|434|||Early Ordovician|490||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Paddys River Volcanic Member|77048|Paddys River Volcanics|26093|||Yes|Member, phase|Reserved|Variation of published name|Reserved|||Hawkins Volcanics|8184|Wenlock||||Wenlock|||||||No|||Blevin, P. (GSNSW)|10/JUL/12|||Name updated by GSNSW.|Grey green dacite ignimbrite, limestone and shale lenses, minor rhyolite and andesite|igneous felsic volcanic|sedimentary carbonate||N|
Paddys River Volcanics|26093|Paddys River volcanics|14766|||Yes|Formation, beds|Formal|Other new published name|Defined|||Hawkins Suite|8179|Wenlock||||Wenlock||||||NSW|No|34405|45147|||||To be replaced by Paddys River Volcanic Member, of Hawkins Volcanics.|Grey green dacite ignimbrite, limestone and shale lenses, minor rhyolite and andesite|igneous felsic volcanic|||N|
Pittman Formation|15299|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Bolindian||||Darriwilian|||||2650|NSW|Yes|43385|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233. Known as Foxlow Beds on MICHELAGO (Refid 24128).|Quartz-rich arenite, shale, siltstone, minor black shale, chert, impure calcareous arenite||||N|
Rutledge Quartzite Member|16472|Rutledge Quartzite|16474|||Yes|Member, phase|Formal|Variation of published name|Defined|Copper Creek Shale|4677|||Late Silurian||||Late Silurian|||||100|NSW|Yes|32820|42820|Abell, R.S. (after Richardson, 1979)|31/JAN/07|||Not to be confused with former Rutledge nomenclature within the Heytesbury Group in Victoria .|Quartzite with conglomerate and minor shale and siltstone.||||N|
Ryrie Formation|16491|||||Yes|Formation, beds|Formal|Resvd name published|Redefined|Yalmy Group|20777|||Early Silurian||||Early Silurian|||||1600|NSW|Yes|32820|36413|Richardson S.|17/JAN/07|Hawke, J.|20/FEB/79|Age: Llandovery. Equivalent to the Tombong Formation. 'Gungoandra Siltstone Member' excluded from this unit in 1994.|Quartzite and quartz-rich sandstone with minor interbedded siltstone and shale|sedimentary siliciclastic|||N|
Shannons Flat Granodiorite|16803|Shannons Flat Adamellite|16801|||Yes|Formation, beds|Formal|Unknown or process pending|Described|||Shannons Flat Suite|31633|Early Devonian|413|6|isotopic, Rb/Sr|Late Silurian|||||||No|45003||||||This form of the name has come back into current use.|Foliated contaminated granodiorite|igneous felsic intrusive|||Y|
Shannons Flat Suite|31633|||||Yes|Group, Suite|Formal|Other new published name|Briefly described|||Wyangala Supersuite|20701|Early Devonian||||Silurian|||||||No|42726||||||Parent information from Phil Blevin, NSWGS, April 2010.|||||Y|
Silurian granites 76713|76713|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Pridoli|410|||Ludlow|420||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic intrusive rocks.  Range in composition from alkali feldspar granite to tonalite; includes associated rocks such as migmatite and minor gabbro and diorite.|igneous felsic intrusive|||Y|
Silurian sedimentary rocks 76714|76714|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Pridoli|410|||Llandovery|434||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Silurian to Devonian felsic volcanics 76710|76710|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Early Devonian|384|||Ludlow|420||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Mainly felsic volcanics, including lavas and tuffs. Association may include volcaniclastic rocks.|igneous felsic volcanic|||N|
Silurian to Devonian sedimentary rocks 76711|76711|||||Yes|Formation, beds|Unnamed|Unnamed published|Mentioned|||||Early Devonian|384|||Ludlow|420||||||No|||||||Unnamed unit used in the 1:2.5 million scale Geology of Australia dataset|Predominantly sedimentary rocks; includes sedimentary rocks of low metamorphic grade and diapiric breccias|sedimentary|||N|
Silverdale Formation|16898|||||Yes|Formation, beds|Formal|Other new published name|Fully described|Hattons Corner Group|8145|||Ludlow||||Ludlow|||||170.5||No|31852||||||Formerly included in the "Laidlaw Formation". In the Canberra-Yass Shelf.  Does not appear on more recent maps - has this unit been 'absorbed' into Yanawe Formation?|Fossiliferous limestone, shale and mudstone.  Contains rich fauna - important corals and conodonts.|sedimentary carbonate|sedimentary siliciclastic||N|
State Circle Shale|17298|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Llandovery||||Llandovery|||||113|NSW|Yes|43385|42820|Abell, R.S. (after Opik 1958)|26/OCT/90|Brakel, A.|26/OCT/90|BMR Bulletin 233.|Shale, mudstone, siltstone and minor sandstone.|sedimentary siliciclastic|||N|
State Circle Shale, Black Mountain Sandstone|42289|||||Yes|Subgroup|Informal|Variation of published name|Not recorded|||||Early Silurian||||Early Silurian|||||||No|||||||Informal grouping of units to be used for New South Wales 1:1 million geological map, National Maps Project.|Shale, mudstone, siltstone and minor sandstone; Sandstone, siltstone and minor shale|sedimentary siliciclastic|||N|
Sutton Granodiorite|26154|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||Sutton Suite|31639|Early Devonian||||Late Silurian|410|4|isotopic, Rb/Sr|||NSW|Yes|42820|42820||||||Granodiorite, monzogranite and quartz-feldspar porphyry|igneous felsic intrusive|||Y|I-type
Sutton Suite|31639|||||Yes|Group, Suite|Formal|Other new published name|Briefly described||||||||||||||||No|42726|||||||||||Y|
Tarpaulin Creek Ashstone Member|17862|||||Yes|Member, phase|Formal|Unknown or process pending|Fully described|Uriarra Volcanics|18992|||Late Silurian||||Late Silurian|||||||No|34405|||||||||||N|I-type
Tharwa Adamellite|18032|||||Yes|Formation, beds|Formal|Unknown or process pending|Defined|||Shannons Flat Suite|31633|Early Devonian||||Late Silurian||||||NSW|No|45003|36413|||||Parent suite information from Phil Blevin, NSWGS, April 2010|Biotite monzogranite|igneous felsic intrusive|||Y|
Tidbinbilla Quartzite|18134|||||Yes|Formation, beds|Formal|Other new published name|Defined|||||Wenlock||||Llandovery|||||300|NSW|No|39800|45147|||||Shown as Black Mountain Sandstone on Abell et al 2008 - Geology of the ACT.|Massive to thin-bedded quartz sandstone and quartzite; minor shale, basal coarse gritstone|quartz-rich arenite to rudite|||N|
