Reference Id | Author | Year | Title | Source | Vol/Part | Pages
22768|Scheibner, E., Basden, H. (ed.)|1998|Part 6(16). Silurian-Middle Devonian. In: Geology of New South Wales - Synthesis.|Geological Survey of New South Wales. Memoir (Geology)|13(2)|p140-189
22770|Adabi, M.H.|1997|Application of carbon isotope chemostratigraphy to the Renison dolomites, Tasmania: a Neoproterozoic age|Australian Journal of Earth Sciences|44(6)|p767-775
22802|Calver, C.R.|1998|Isotope stratigraphy of the Neoproterozoic Togari Group, Tasmania.|Australian Journal of Earth Sciences|45(6)|p865-874
22847|Hutton, L.J., Rienks, I.P.|1997|Geology of the Ravenswood Batholith|Queensland Geology|8|60p
22857|Scheibner, E., Basden, H. (ed.)|1998|Geology of New South Wales - Synthesis. Volume 2 Geological Evolution.|Geological Survey of New South Wales. Memoir (Geology)|13(2)|666pp
22858|Scheibner, E., Basden, H. (ed.)|1998|Part 6(14). Early-Middle Cambrian. In: Geology of New South Wales - Synthesis.|Geological Survey of New South Wales. Memoir (Geology)|13(2)|p75-101
22875|Edwards, J., Leonard, J.G., Pettifer, G.R., McDonald, P.A.|1996|Colac 1:250 000 Map Geological Report|Geological Survey of Victoria. Report|98|
22886|Edwards, J.E., Willman, C.E., McHaffie, I.W., Olshina, A., Willocks, A.J.|1997|The geology and prospectivity of the Castlemaine, Woodend, Yea and part of Bacchus Marsh 1:100 000 map sheets|Victorian Initiative for Minerals and Petroleum Report|51|
22914|Cockshell, D.|1998|South Australian seismic mapping|MESA Journal|8|P16-17
22928|Morton, J.L.|1998|Tenement Activity - Minerals|MESA Journal|10|p44-48
22930|Frears, B.|1998|Tenement activity - Petroleum|MESA Journal|10|p49-52
22932|Frears, B.|1997|Caroline carbon dioxide, Otway Basin|MESA Journal|5|p22-23
22938|Bourman, R.P.|1995|Towards distinguishing transported and in situ ferricretes: data from southern Australia.|AGSO Journal of Australian Geology and Geophysics|16(3)|231-241
22944|Gunn, P.J., Mackey, T.E., Mitchell, J.N.|1997|Offshore Otway Basin Aeromagnetic Interpretation.|Australian Geological Survey Organisation. Record|24|
23010|Shafik, S.|1995|Calcareous microplankton biostratigraphy of the Eocene Browns Creek Clay in the Aire District, Otway Basin of southeastern Australia: an update.|AGSO Journal of Australian Geology and Geophysics|16(3)|333-344
23019|Berry, R.F., Meffre, S., Kreuzer, H.|1997|Metamorphic rocks from the southern margin of Tasmania and their tectonic significance|Australian Journal of Earth Sciences|44(5)|p609-619
23024|Frakes, L.A., Francis, J.E., Syktus, J.I.|1992|Chapter 5. The Cool Mode: early Carboniferous to late Permian. In: Climate Modes of the Phanerozoic.|Cambridge University Press, Cambridge, United Kingdom||p37-55
23026|Vogel, D.C., Keays, R.R.|1997|The petrogenesis and platinum-group element geochemistry of the Newer Volcanic Province, Victoria, Australia|Chemical Geology|136(1-2)|p181-204
23041|Gunn, P.J.|1997|Regional magnetic and gravity reponses of extensional sedimentary basins.|AGSO Journal of Australian Geology and Geophysics|17(2)|p115-131
23048|Huston, D.L., Scott, M., Meares, R.|1997|Volcanic- Hosted Massive Sulphide Deposits of the Eastern Lachlan Fold Belt. Prepared for the Post-conference excursion to the third meeting of the SGEG, GSA.|Geological Society of Australia. Specialist Group in Economic Geology|1v|19pp
23058|Large, R.R., Huston, D.L., McGoldrick, P.J., Ruxton, B.P.|1989|Gold Distribution and Genesis in Australian Volcanogenic Massive Sulfide Deposits and their Signifigance for Gold Transport Models. IN 'The Geology of Gold Deposits: The Perspective in 1988' Keays R.R., Ramsay W.R.H., Groves D.I. (eds)`|Economic Geology. Monograph|6|520 - 536
23111|McQuitty, B.M., Roberts, R.H., Kitto, P.A., Cannard, C.J.|1998|Renison Bell tin deposit IN Berkman, D.A. & Mackenzie, D.H. (eds) 'Geology of Australian and Papua New Guinean mineral deposits'|AusIMM. Monograph Series|22|p487-491
23112|Berry, M.V., Edwards, P.W., Georgi, H.T., Graves, C.C., Carnie, C.W.A., Fare, R.J., Hale, C.T., Helm, S.W., Hobby, D.J., Willis, R.D.|1998|Rosebery lead-zinc-gold-silver-copper deposit IN Berkman, D.A. & Mackenzie, D.H. (eds) 'Geology of Australian and Papua New Guinean mineral deposits'|AusIMM. Monograph Series|22|p481-486
23113|Callaghan, T., Dunham, S., Edgar, W.|1998|Henty gold deposit IN Berkman, D.A. & Mackenzie, D.H. (eds) 'Geology of Australian and Papua New Guinean mineral deposits'|AusIMM. Monograph Series|22|p473
23114|Hills, P.B.|1998|Tasmania gold deposit, Beaconsfield IN Berkman, D.A. & Mackenzie, D.H. (eds) 'Geology of Australian and Papua New Guinean mineral deposits'|AusIMM. Monograph Series|22|p467-472
23187|Edgecombe, G.D., Banks, M.R., Banks, D.M.|1999|Upper Ordovician Phacopida (Trilobita) from Tasmania|Alcheringa|23(4)|p235-257
23191|Brown, A.V.|1996|Trowutta 1:50 000 geological map. Sheet 7915 N (27).|Mineral Resources Tasmania. Geological Atlas 1:50 000 Series.||MAP
23213|Percival, I.G., Morgan, E.J., Scott, M.M.|1999|Ordovician stratigraphy of the northern Molong Volcanic Belt: new facts and figures|Geological Survey of New South Wales. Quarterly Notes|108|p8-27
23222|Hargreaves, M.R.|1993|Dover 1:50 000 Geological Atlas Sheet 8311S (94)|Department of Mines, Tasmania|8311S (94)|Map
23226|Lukasik, J.J., James, N.P.|1998|Lithostratigraphic revision and correlation of the Oligo-Miocene Murray Supergroup, western Murray Basin, South Australia|Australian Journal of Earth Sciences|45(6)|p889-902
23230|Abele, C.|1988|Mesozoic and Cainozoic Stratigraphy of Victoria. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 4|pp39-46
23231|Cas, R.|1988|Tectonic History of Victoria. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 5|pp47-56
23234|Cochrane, G.W., Barton, C.M., Canavan, F., Holdgate, G.R., Knight, J.L.|1988|Economic Geology. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 9|pp81-93
23238|Lawrence, C.R.|1988|Engineering Geology - Groundwater in Victoria. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 10(3)|pp105-108
23239|Bolger, P.|1988|Western District - Geelong-Brisbane Ranges. IN 'Victorian Geology Excursion Guide' Clark I., Cook B., Cochrane G.C. (eds)|Australian Academy of Science and Geological Society of Australia (Victorian Division)|Section 11(1)|pp109-118
