Reference Id | Author | Year | Title | Source | Vol/Part | Pages
61108|Cowley, W.M., Fairclough, M.C.|2003|Surface geology of the Gawler Craton, 1:1 000 000, preliminary edition|South Aust. Geol. Surv.||map
61119|Kemp, A.|2005|New insights into ancient environments using dental characters in Australian Cenozoic lungfish|Alcheringa|29(1)|p123-149
61147|Taube, A., Mawson, R., Talent, J.A.|2005|Repetition of the Mount Morgan stratigraphy and mineralization in the Dee Range, northeastern Australia: implications for exploration|Economic Geology|100(2)|p375-384
61155|Langford, R.P., Wilford, G.E., Truswell, E.M., Isern, A.R.|1995|Palaeogeographic Atlas of Australia: CAINOZOIC|Australian Geological Survey Organisation|10|37p
61181|McHaffie, I.W., Buckley, R.W.|1995|Industrial minerals and rocks of Victoria|Geological Survey of Victoria. Report|102|209pp, 1 map
61187|Willocks, A.J., Haydon, S.J., Asten, M.W., Moore, D.H.|1999|Geophysical signatures of base metal deposits in Victoria|Geological Survey of Victoria Report and Australian Society of Exploration Geophysicists Spec. Publ.|Rep. 119 and Spec. Publ. 11|162 pp
61198|Kernich, A., Pain, C., Kilgour, P., Maly, B.|2004|Regolith Landforms in the Lower Balonne Area, Southern Queensland, Australia|CRCLEME Open File Report|161|??
61199|Herczeg, A.L.|2004|Groundwater ages, sources of salt and recharge mechanisms in the Lower Balonne area, Southern Queensland, Australia: isotope and geochemical data|CRCLEME Open File Report|164|??
61200|Clarke, J.D.A., Reisz, A.L.|2004|Fluvial architecture of the Subsurface of the Lower Balonne area, Southern Queensland, Australia|CRCLEME Open File Report|162|??
61201|Pratt, W.|1996|Coal resources of the Werrie Basin NSW|Department of Mineral and Petroleum Resources|GS1996/528|pp19
61204|Gregory, M.J., Wilde, A.R., Jones, P.A.|2005|Uranium Deposits of the Mount Isa Region and Their Relationships to deformation, Metamorphism, and Copper Deposition|Economic Geology|100(3)|p537-546
