Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
7107|Gellibrand Marl|underlies|1832|Black Rock Sandstone||
15928|Red Bluff Sandstone|overlies|1832|Black Rock Sandstone||
22204|Little River Subgroup|overlies|21264|Black Satin Ignimbrite|unconformity|
34880|Berrawan Conglomerate|underlies|34889|Blackfellows Flat Conglomerate|not specified|
34886|Shanahan Sandstone|overlies|34889|Blackfellows Flat Conglomerate|not specified|
3026|Bungunnia Limestone|overlies|1918|Blanchetown Clay|not specified|
4042|Chowilla Sand|is interbedded with|1918|Blanchetown Clay||
9299|Karoonda Surface|underlies|1918|Blanchetown Clay|not specified|
12109|Monoman Formation|overlies|1918|Blanchetown Clay|not specified|
25474|Shepparton Formation|overlies|1918|Blanchetown Clay|not specified|
20618|Woorinen Formation|overlies|1918|Blanchetown Clay|not specified|
34838|Attunga Paringa Formation|overlies|2013|Blueys Creek Formation|unconformity|
27245|Towanga Sandstone|overlies|2013|Blueys Creek Formation|not specified|
37586|Nowa Nowa Conglomerate|overlies|37529|Boggy Creek Sandstone|conformity|
37607|Tomato Creek Ignimbrite|underlies|37529|Boggy Creek Sandstone|conformity|
34812|Mount Elizabeth Caldera Complex|overlies|2092|Boggy Plain Supersuite|not specified|
27308|Darraweit Guim Mudstone|overlies|24743|Bolinda Shale|not specified|
35522|Murrindindi Supergroup|overlies|24743|Bolinda Shale|not specified|
25442|Riddell Sandstone|underlies|24743|Bolinda Shale|conformity|
5752|Duddo Limestone|underlies|2203|Bookpurnong Formation||
35339|Loddon River Group|underlies|2203|Bookpurnong Formation||
13544|Murray Group|underlies|2203|Bookpurnong Formation|not specified|
6016|Eildon Sandstone|overlies|2211|Boola Formation|not specified|
19921|Whitelaw Siltstone|underlies|2211|Boola Formation|conformity|
26219|Wilson Creek Shale|overlies|2211|Boola Formation|conformity|
14553|Olney Formation|overlies|24748|Boolahbone Granite|not specified|
444|Anglesea Formation|overlies|2245|Boonah Formation||
22295|McRaes Ignimbrite|overlies|21295|Boorabal Andesite|not specified|
98|Adaminaby Group|underlies|27117|Boyd Volcanic Complex|unconformity|high angle unconformity
11713|Merrimbula Group|overlies|27117|Boyd Volcanic Complex|unconformity|very low angle unconformity or conformity
20777|Yalmy Group|underlies|21321|Bredbo Group|unconformity|
4583|Coomandook Formation|underlies|2543|Bridgewater Formation|not specified|
77691|Cove Sand|underlies|2543|Bridgewater Formation||
16542|Saint Kilda Formation|overlies|2543|Bridgewater Formation||
19858|Whalers Bluff Formation|underlies|2543|Bridgewater Formation|not specified|
5213|Dargile Formation|underlies|2556|Brighton Group|not specified|
18657|Tullamarine Basalt|underlies|2556|Brighton Group||
19417|Wannaeue Formation|overlies|2556|Brighton Group|not specified|
5213|Dargile Formation|underlies|27348|Broadford Formation|conformity|
28613|Humevale Siltstone|is interbedded with|27348|Broadford Formation||
15639|Puckapunyal Formation|overlies|27348|Broadford Formation|conformity|gradational contact
3753|Castle Cove Limestone|overlies|2688|Browns Creek Clay|conformity|
9003|Johanna River Sand|underlies|2688|Browns Creek Clay|conformity|
1066|Banksia Chert Member|underlies|2706|Brumby Mafic Arenite Member|not specified|
17054|Snowy Plains Formation|underlies|75714|Bryce Plain Basalt|unconformity|
34825|Avonmore Subgroup|underlies|2750|Buchan Caves Limestone||
22023|Jellung Ignimbrite|underlies|2750|Buchan Caves Limestone|conformity|
22379|Moores Ford Andesite|underlies|2750|Buchan Caves Limestone|conformity|
26788|Murrindal Limestone|overlies|2750|Buchan Caves Limestone|not specified|
34865|Roadsend Formation|underlies|2750|Buchan Caves Limestone|not specified|
30542|Taravale Marlstone|overlies|2750|Buchan Caves Limestone|conformity|
26764|Mount Leinster Igneous Complex|overlies|2754|Buchan Group|not specified|
24268|Enano Group|overlies|2895|Bullenbalong Suite|nonconformity|
36202|Castlemaine Group|underlies|28182|Bullengarook Gravel|unconformity|
11503|McAdam Sandstone|underlies|24785|Bullung Siltstone|conformity|
16928|Sinclair Valley Sandstone|overlies|24785|Bullung Siltstone|conformity|
98|Adaminaby Group|underlies|33275|Bumballa Formation|not specified|
19441|Warbisco Shale|overlies|33275|Bumballa Formation|not specified|
1918|Blanchetown Clay|underlies|3026|Bungunnia Limestone|not specified|
2543|Bridgewater Formation|overlies|27124|Burnham Limestone|unconformity|
15448|Pooraka Formation|overlies|27124|Burnham Limestone|not specified|
32298|Kingfish Formation|underlies|32302|Burong Formation|not specified|
98|Adaminaby Group|underlies|24797|Burranah Formation|not specified|
6976|Gambier Limestone|overlies|3162|Burrungule Member|disconformity|
28232|Chintin Formation|underlies|34122|Bylands Siltstone|not specified|
20800|Yan Yean Formation|overlies|34122|Bylands Siltstone|not specified|
36202|Castlemaine Group|underlies|3322|Calivil Formation|not specified|
10825|Loxton Sand|is interbedded with|3322|Calivil Formation||
13544|Murray Group|is equivalent to|3322|Calivil Formation||
14553|Olney Formation|underlies|3322|Calivil Formation|disconformity|Of the Renmark Group.
16036|Renmark Group|underlies|3322|Calivil Formation|disconformity|
25474|Shepparton Formation|overlies|3322|Calivil Formation|unconformity|
18976|Urana Formation|underlies|3322|Calivil Formation|unconformity|
15448|Pooraka Formation|underlies|3330|Callabonna Clay|not specified|
9481|Kevington Creek Formation|overlies|34350|Callemondah Conglomerate|not specified|
28232|Chintin Formation|overlies|3361|Calton Hill Sandstone Member|not specified|
23993|Stockdale Conglomerate Member|underlies|3361|Calton Hill Sandstone Member|not specified|
7107|Gellibrand Marl|underlies|21425|Camelback Member|not specified|
