Reference Id | Author | Year | Title | Source | Vol/Part | Pages
61387|Meixner, T., Close, D.F., Scrimgeour, I.R., Edgoose, C.J.|2004|Mount Rennie, Northern Territory 1:250 000 Interpreted geological map series, SF52-15 - First edition|Northern Territory Geological Survey|1v|Map
61388|Haines, P.W.|2004|Woodgreen, Northern Territory, 1:100 000 geological map, Sheet 5753 - Second edition|Northern Territory Geological Survey|1v|Map
61393|Swain, G.M., Hand, M., Teasdale, J., Rutherford, L., Clark, C.|2005|Age constraints on terrane-scale shear zones in the Gawler Craton, southern Australia|Precambrian Research|139(3-4)|p164-180
61404|Kruse, P.D., Mohammed, L.C.|2005|Geology of the southern Georgina Basin, Northern Territory, 1:500 000 geological special - First edition|Northern Territory Geological Survey|1v|Map
61411|Berry, R.F., Gray, D.R.|2001|The structure of the coastal section from Goat Island to Ulverstone, northwestern Tasmania|Geological Society of Australia. Specialist Group in Tectonics and Structural Geology. Field Guide.|10|28p
61412|Berry, R.F., Holm, O.|2001|The structure of northwestern Tasmania|Geological Society of Australia. Specialist Group in Tectonics and Structural Geology. Field Guide.|11|52p
61469|Oil & Gas Australia|2005|New phase of acivity for Bass Strait Oil Company|Oil & Gas Australia. Victoria Supplement|September 2005|p32-33
61470|Oil & Gas Australia|2005|New group formed to handle geoscience issues|Oil & Gas Australia. Victoria Supplement|September 2005|p26-28
61471|Oil & Gas Australia|2005|Unlocking the potential of the Otway Basin|Oil & Gas Australia. Victoria Supplement|September 2005|p34-36
61517|Kendrick, G.W.|2005|A new species of Bothriembryon (Mollusca: Gastropda: Bulimulidae) from the Pliocene Roe Calcarenite, Eucla Basin, Western Australia|Western Australian Museum. Records|22(4)|p309-313
61518|Meixner, T., Scrimgeour, I.R., Close, D.F., Edgoose, C.J.|2004|Mount Liebig, Northern Territory, 1:250 000 interpreted geology map series, SF 52-16 - Second edition|Northern Territory Geological Survey|1v|Map
61519|Meixner, T., Close, D.F., Scrimgeour, I.R., Edgoose, C.J.|2004|Mount Rennie, Northern Territory, 1:250 000 Interpreted geological map series, SF 52-15 - First edition|Northern Territory Geological Survey|1v|Map
61522|Fairclough, M.|2005|Geological and metallogenic setting of the Carrapateena FeO-Cu-Au prospect - a PACE success story|MESA Journal|38|p4-7
61523|Hore, S., Fidler, R., McInnes, R., Ragless, J.|2005|Mount Painter Geochemistry - an old terrain revisited with new science|MESA Journal|38|p8-14
61524|Woodhouse, A., Gum, J.|2005|Musgrave Province - geological mapping update|MESA Journal|38|p16-21
61525|Hough, J.|2005|Murray Bridge Freestone - stands the test of time|MESA Journal|38|p40-42
61528|Mitchell, M.M., Duddy, I.R., O'Sullivan, P.B.|1997|Reappraisal of the age and origin of the Casterton Formation, western Otway Basin, Victoria|Australian Journal of Earth Sciences|44(6)|p819-830
61544|Tapley, D., Mee, B.C., King, S.J., Davis, R.C., Leischner, K.R.|2005|Petroleum potential of the Ceduna Sub-basin: impact of Gnarlyknots-1A IN "The APPEA Journal 2005", APPEA Conference, 10-13 April 2005, Perth|APPEA Journal|45(1)|p365-379
61547|Lyon, P.J., Boult, P.J., Watson, M., Hillis, R.R.|2005|A Systematic fault seal evaluation of the Ladbroke Grove and Pyrus traps of the Penola Trough, Otway Basin IN "The APPEA Journal 2005",  APPEA Conference, 10-13 April 2005, Perth|APPEA Journal|45(1)|p459-475
61552|Bernecker, T., Partridge, A.D.|2005|Approaches to palaeogeographic reconstructions of the Latrobe Group, Gippsland Basin, southeastern Australia IN "The APPEA Journal 2005",  APPEA Conference, 10-13 April 2005, Perth|APPEA Journal|45(1)|p581- 599
61553|Blevin, J.E., Trigg, K.R., Partridge, A.D., Boreham, C.J., Lang, S.C.|2005|Tectonostratigraphy and potential source rocks of the Bass Basin IN "The APPEA Journal 2005",  APPEA Conference, 10-13 April 2005, Perth|APPEA Journal|45(1)|p601-621
61555|Scibiorski, J.P., Micenko, M., Lockhart, D.|2005|Recent discoveries in the Pyrenees Member, Exmouth Sub-basin: a new oil play fairway IN "The APPEA Journal 2005",  APPEA Conference, 10-13 April 2005, Perth|APPEA Journal|45(1)|p233-251
61556|Whitten, G.F.|1966|Suggested correlation of iron ore deposits within South Australia|Geological Survey of South Australia, Quarterly Geological Notes|18|p7-11
61560|Haines, P.W.|2005|Impact cratering and distal ejecta: the Australian record|Australian Journal of Earth Sciences|52(4-5)|p481-507
61565|Williams, G.E., Gostin, V.A.|2005|Acraman-Bunyeroo impact event (Ediacaran), South Australia, and environmental consequences: twenty-five years on|Australian Journal of Earth Sciences|52(4-5)|p607-620
