basin,formation,lithology1,lithology2,environment1,environment2,source,notes,name
Bowen,Boomer,sandstone,siltstone,,,,,
Duaringa,Boomer,sandstone,siltstone,,,,,
Rockhampton,Boomer,arenite,mudstone,,,,,
Saint Lawrence,Boomer,sandstone,claystone,,,,,
Moreton,Boondooma,diorite,adamellite,,,,,
Narrabri,Booromin,sandstone,conglomerate,,,,,
Tamworth,Borambil Creek,sandstone,conglomerate,,,,,
Rockhampton,Bouldercombe,diorite,adamellite,,,,,
Yarraman,Box Gully,conglomerate,arenite,,,,,
,Brae,,,,,,,
Sydney,Branxton,conglomerate,sandstone,fan delta,delta plain,map,,
Singleton,Branxton,mudstone,sandstone,fan delta,delta plain,map,,
Grafton-Maclean,Brassington,rhyolite,quartz,,,,,
Maryborough,Briggs,diorite,granite,,,,,
Moreton,Brookfield,rhyolite,andesite,,,,,
Wollongong,Broughton Tuff,tuff,sandstone,nearshore marine,,Fielding2006,,
Yarraman,Buaraba,mudstone,arenite,,,,,
Wollongong,Budgong,sandstone,,,,,,
Bowen,Buffel,limestone,,delta,shallow shelf/coastal,Fielding1993,,
Monto,Buffel,limestone,siltstone,delta,shallow shelf/coastal,Fielding1993,,
Mundubbera,Buffel,limestone,conglomerate,delta,shallow shelf/coastal,Fielding1993,,
Dorrigo,Buffers Creek,siltstone,wackestone,,,,,
,Bulgadoo,shale,siltstone,shoreface,offshore marine,"Lever2004, AGGA",,
Wollongong,Bumbo,latite,breccia,,,AGGA,,
,Bundella,mudstone,dropstone,subtidal,lower shoreface-offshore transition,"Fielding2010, Reid2010, AGGA",,
Monto,Burnett,arenite,siltstone,,,,,
Mundubbera,Burnett,arenite,siltstone,,,,,
Bowen,Burngrove,mudstone,siltstone,,,,,
Duaringa,Burngrove,mudstone,sandstone,,,,,
,Burnt Gully,limestone,,,,AGGA,,
Mundubbera,Cadarga Creek,diorite,adamellite,,,,,
Mackay,Calen,sandstone,siltstone,,,,,
Proserpine,Calen,sandstone,siltstone,,,,,
,Callytharra,siltstone,calcarenite,shallow marine,marine shelf,"Lever2004, Mii2013, AGGA",,
,Calytrix,,,,,,,
Wollongong,Cambewarra,latite,,,,,,
Baralaba,Camboon,andesite,basalt,alluvial,lacustrine,Fielding1993,,
Duaringa,Camboon,andesite,breccia,alluvial,lacustrine,Fielding1993,,
Monto,Camboon,andesite,basalt,alluvial,lacustrine,Fielding1993,,
Mundubbera,Camboon,andesite,tuff,alluvial,lacustrine,Fielding1993,,
Rockhampton,Camboon,andesite,tuff,alluvial,lacustrine,Fielding1993,,
,Capertree,,,,,,spell,Capertee
Bowen,Carmila,siltstone,mudstone,,,,,
Bowen,Carmila,dacite,andesite,,,,,
Duaringa,Carmila,conglomerate,sandstone,,,,,
Mackay,Carmila,conglomerate,wackestone,,,,,
Proserpine,Carmila,sandstone,sandstone,,,,,
Saint Lawrence,Carmila,volcanics,conglomerate,,,,,
,Carolyn,sandstone,siltstone,,,AGGA,,
,Carrandibby,claystone,siltstone,marine shelf,shoreline,"Lever2004, AGGA",,
