Related Stratno | Related unit name | Relation Type | Related Stratno | Stratigraphic Name |Contact Type | Comments  
1735|Birrindudu Group|underlies|488|Antrim Plateau Volcanics|unconformity|
41161|Coomarie Suite|underlies|488|Antrim Plateau Volcanics||
5760|Duerdin Group|underlies|488|Antrim Plateau Volcanics|unconformity|
23629|Goose Hole Group|overlies|488|Antrim Plateau Volcanics|not specified|
8205|Headleys Limestone|overlies|488|Antrim Plateau Volcanics|disconformity|
25971|Killaloc Formation|underlies|488|Antrim Plateau Volcanics|not specified|
9589|Kinevans Sandstone|underlies|488|Antrim Plateau Volcanics|unconformity|
10840|Lucas Formation|overlies|488|Antrim Plateau Volcanics||
12130|Montejinni Limestone|overlies|488|Antrim Plateau Volcanics|unconformity|
15983|Redcliff Pound Group|underlies|488|Antrim Plateau Volcanics|unconformity|
17763|Tanami Group|underlies|488|Antrim Plateau Volcanics|unconformity|
35323|Tijunna Group|underlies|488|Antrim Plateau Volcanics|not specified|
30320|Windoo Sandstone|overlies|488|Antrim Plateau Volcanics|not specified|
16356|Rosie Creek Sandstone Member|underlies|513|Aquarium Formation|conformity|
38902|Settlement Creek Dolerite|overlies|513|Aquarium Formation|nonconformity|
26142|Sly Creek Sandstone|underlies|513|Aquarium Formation|conformity|
27950|Wununmantyala Sandstone|underlies|513|Aquarium Formation|conformity|Ref: Rawlings et al, 2004.  This contradicts Mt Young 250K map legend.
24230|Coulters Sandstone|overlies|24163|Arabulja Volcanics|conformity|
24345|Kudinga Basalt|overlies|24163|Arabulja Volcanics||
24428|Newlands Volcanics|is equivalent to|24163|Arabulja Volcanics||
25695|Strzeleckie Volcanics|is equivalent to|24163|Arabulja Volcanics||
24597|Yeeradgi Sandstone|underlies|24163|Arabulja Volcanics|conformity|
7636|Goulburn Group|underlies|522|Arafura Group|not specified|
571|Areyonga Formation|underlies|524|Aralka Formation|conformity|
14563|Olympic Formation|overlies|524|Aralka Formation|disconformity|
15284|Pioneer Sandstone|overlies|524|Aralka Formation|not specified|
74210|Kingfisher Shale|underlies|74209|Arco Formation|not specified|
74207|Sunbird Formation|underlies|74209|Arco Formation|not specified|
17793|Tanmurra Formation|underlies|74209|Arco Formation|not specified|
524|Aralka Formation|overlies|571|Areyonga Formation|not specified|
1758|Bitter Springs Formation|underlies|571|Areyonga Formation|not specified|
15284|Pioneer Sandstone|overlies|571|Areyonga Formation|disconformity|
5911|Eastern Creek Volcanics|overlies|585|Argylla Formation|unconformity|
11361|Marraba Volcanics|overlies|585|Argylla Formation|conformity|
17256|Stanbroke Sandstone|overlies|585|Argylla Formation|not specified|
8225|Heavitree Quartzite|overlies|605|Arltunga Nappe Complex|not specified|
5911|Eastern Creek Volcanics|underlies|618|Armraynald beds|not specified|
27754|Crawford Formation|underlies|28334|Arnold Sandstone Member|not specified|
27800|Hodgson Sandstone Member|overlies|28334|Arnold Sandstone Member||
10045|Lake Frome Group|overlies|26354|Aroona Creek Limestone|not specified|
26643|Jinka Granite|underlies|37960|Aroota Group|nonconformity|
9375|Keepera Group|overlies|37960|Aroota Group|disconformity|
20740|Yackah beds|underlies|37960|Aroota Group|disconformity|
18357|Toolachee Formation|underlies|23342|Arrabury Formation|conformity|
9863|Kudjumarndi Quartzite|overlies|75503|Arrarra Gneiss|unconformity|
75502|Kukalak Gneiss|intrudes|75503|Arrarra Gneiss||possibly
27856|Nanambu Complex|intrudes|75503|Arrarra Gneiss||
645|Arthur Creek Formation|underlies|632|Arrinthrunga Formation|conformity|
68909|Camooweal Dolostone|underlies|632|Arrinthrunga Formation||
26298|Chabalowe Formation|underlies|632|Arrinthrunga Formation|not specified|
14173|Ninmaroo Formation|overlies|632|Arrinthrunga Formation|disconformity|
17310|Steamboat Sandstone|underlies|632|Arrinthrunga Formation|conformity|
39871|Tomahawk Formation|overlies|632|Arrinthrunga Formation|disconformity|
632|Arrinthrunga Formation|overlies|645|Arthur Creek Formation|conformity|
26298|Chabalowe Formation|overlies|645|Arthur Creek Formation|conformity|
26306|Hagen Member|overlies|645|Arthur Creek Formation|not specified|
12476|Mount Baldwin Formation|underlies|645|Arthur Creek Formation|not specified|
42197|Red Heart Dolostone|underlies|645|Arthur Creek Formation|disconformity|
17310|Steamboat Sandstone|overlies|645|Arthur Creek Formation|conformity|
18088|Thorntonia Limestone|underlies|645|Arthur Creek Formation|disconformity|
8558|Hugh River Shale|overlies|668|Arumbera Sandstone|not specified|
9070|Julie Formation|underlies|668|Arumbera Sandstone|conformity|
69015|Todd River Dolostone|overlies|668|Arumbera Sandstone|not specified|Forms cap over upper section of sandstone
25689|Hale Formation|overlies|679|Arunta Complex|unconformity|
75076|Fishburn Formation|overlies|75075|Ascalon Formation|conformity|
75074|Mairmull Formation|underlies|75075|Ascalon Formation|unconformity|
2790|Buckingham Bay Sandstone|overlies|722|Astell Sandstone|unconformity|
8225|Heavitree Quartzite|overlies|24166|Atnarpa Igneous Complex|unconformity|
32406|Bootu Formation|overlies|25768|Attack Creek Formation|conformity|
38413|Gleeson Formation|overlies|25768|Attack Creek Formation|unconformity|
26139|Short Range Sandstone|underlies|25768|Attack Creek Formation|conformity|
24746|Bonya Schist|is intruded by|23345|Attutra Metagabbro||
