genus,species,"base of range (Ma)","top of range (Ma)",collections,"with abundances","geometric mean abundance"
Colemanosteges,fletcheri,259.000,254.000,1,0,NaN
Composita,magnicarina,318.100,314.600,4,0,NaN
Composita,sp.,295.000,279.500,3,2,0.0174
Coolkilella,bella,290.100,272.500,3,2,0.4082
Coolkilella,coolkilyaensis,272.500,268.000,2,2,1.0000
Coolkilella,maitlandi,279.500,272.500,1,0,NaN
Coronalosia,irwinensis,295.000,290.100,10,8,0.3813
Coronalosia,jimbaensis,290.100,279.500,5,3,0.3196
Costatispirifer,gracilis,272.500,268.000,1,1,0.2222
Costatumulus,capillatus,295.000,290.100,1,0,NaN
Costatumulus,farleyensis,290.100,272.500,76,0,NaN
Costatumulus,halli,265.000,259.000,10,9,0.0349
Costatumulus,irwinensis,295.000,279.500,20,5,0.6264
Costatumulus,meritus,290.100,268.000,22,0,NaN
Costatumulus,occidentalis,290.100,279.500,1,1,0.1111
Costatumulus,prolongata,290.100,279.500,1,1,0.2667
Costatumulus,sp.,295.000,279.500,4,3,0.0869
Costatumulus,"sp. A",290.100,279.500,1,1,0.3750
Costatumulus,tumidus,290.100,279.500,27,22,0.1010
Costiferina,thomasi,259.000,254.000,3,2,0.2372
Costiferina,wadei,290.100,279.500,3,2,0.8660
Cranaena,concava,360.700,353.800,1,0,NaN
Crassispirifer,condoni,290.100,279.500,2,2,0.4629
Crassispirifer,kimberleyensis,295.000,290.100,1,0,NaN
Crassispirifer,pinguis,290.100,272.500,5,5,0.3701
Crassispirifer,rostalinus,290.100,279.500,4,3,0.6114
Crassispirifer,sp.,295.000,290.100,1,0,NaN
Crassumbo,voiseyi,345.300,326.400,2,0,NaN
Cratispirifer,nuraensis,295.000,290.100,2,2,1.0000
Crurithyris,"sp. B",345.300,326.400,6,0,NaN
Cundaria,aquilaformis,290.100,272.500,2,1,0.0714
Cyrtella,allandalensis,295.000,279.500,8,1,1.0000
Cyrtella,australis,298.900,290.100,5,0,NaN
Cyrtella,berriedalensis,290.100,279.500,1,0,NaN
Cyrtella,campbelli,265.000,259.000,2,1,0.0714
Cyrtella,erecta,290.100,279.500,3,3,0.0972
Cyrtella,furcata,290.100,279.500,2,0,NaN
Cyrtella,granulata,290.100,279.500,5,0,NaN
Cyrtella,koopi,295.000,290.100,1,1,0.0556
Cyrtella,nobilis,279.500,259.000,27,18,0.0382
Cyrtella,sp.,295.000,259.000,14,2,0.0537
Cyrtella,"sp. A",290.100,279.500,2,0,NaN
Cyrtella,"sp. nov",290.100,279.500,2,0,NaN
Cyrtella,"sp. nov.",290.100,279.500,1,0,NaN
Cyrtella,subparallela,290.100,259.000,14,12,0.0250
Cyrtella,ulladullensis,279.500,265.000,5,3,0.2896
Delepinea,aspinosa,345.300,326.400,17,0,NaN
Delthyris,papilionis,360.700,326.400,3,0,NaN
Demonedys,granti,279.500,272.500,2,1,0.5000
Derbyia,hardmani,259.000,254.000,3,2,0.0971
Derbyia,sp.,279.500,272.500,1,0,NaN
Derbyia,"sp. A",272.500,268.000,1,0,NaN
Dictyoclostus,paradoxus,360.700,345.300,2,0,NaN
Dictyoclostus,simplex,360.700,318.100,2,0,NaN
Dictyoclostus,sp.,360.700,345.300,1,0,NaN
Dielasma,elongatum,268.000,265.000,1,0,NaN
Dielasma,picketti,336.000,326.400,15,0,NaN
Dielasma,sp.,360.700,290.100,4,0,NaN
Dyschrestia,colemani,279.500,272.500,2,2,0.5000
Dyschrestia,sp.,272.500,268.000,1,1,1.0000
Echinalosia,bookeri,279.500,272.500,3,0,NaN
Echinalosia,curtosa,290.100,279.500,11,8,0.0696
Echinalosia,dejecta,290.100,279.500,4,4,0.0986
Echinalosia,denisoni,268.000,265.000,17,2,0.2430
Echinalosia,discinia,279.500,272.500,22,5,0.3263
Echinalosia,glabra,265.000,259.000,12,0,NaN
Echinalosia,maxwelli,279.500,268.000,27,10,0.2113
Echinalosia,mcclungi,290.100,279.500,7,0,NaN
Echinalosia,minima,290.100,259.000,19,0,NaN
Echinalosia,ovalis,272.500,259.000,61,6,0.0308
Echinalosia,preovalis,290.100,272.500,119,23,0.3512
Echinalosia,prideri,290.100,279.500,4,4,0.6372
Echinalosia,robusta,279.500,268.000,14,2,0.1475
Echinalosia,simpsoni,290.100,272.500,3,1,0.2143
Echinalosia,sp.,290.100,272.500,19,0,NaN
Echinalosia,telfordi,272.500,268.000,6,0,NaN
Echinalosia,wassi,272.500,265.000,6,0,NaN
Echinoconchus,gradatus,360.700,326.400,19,0,NaN
Ectochoristites,wattsi,360.700,326.400,2,0,NaN
Eliva,sp.,259.000,254.000,1,0,NaN
Elivina,hoskingae,295.000,290.100,19,2,0.0613
Eolissochonetes,sp.,336.000,326.400,1,0,NaN
Eomarginifera,megalotis,336.000,326.400,5,0,NaN
Eomarginifera,paradoxa,345.300,326.400,2,0,NaN
Eomarginifera,paradoxus,360.700,345.300,4,0,NaN
Eomarginifera,sp.,336.000,326.400,7,0,NaN
Eomarginifera,tenuimontis,345.300,326.400,11,0,NaN
Etherilosia,calytrixi,295.000,290.100,1,0,NaN
Etherilosia,carolynae,295.000,290.100,1,0,NaN
Etherilosia,etheridgei,295.000,290.100,34,8,0.3954
Etherilosia,prendergastae,279.500,272.500,2,0,NaN
Etherilosia,sp.,268.000,265.000,1,0,NaN
Eumetria,mona,360.700,326.400,4,0,NaN
Farmerella,exoporosa,290.100,272.500,5,0,NaN
