"Stratigraphic.Name"|"Previous.Name"|"Replacement.Name"|"Rank"|"Status"|"Category"|"Parent.Name"|"Type.Section.State"|"Lithology.Description"|"Primary.Lithology.Group"|"Secondary.Lithology.Group"
"3966"|"Barfield Formation"|"Barfield formation"|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|"NSW"|"Green to dark blue, locally calcareous mudstone with local calcareous to phosphatic concretions and glendonites; lithic and feldspathic sandstone and minor conglomerate; minor lapilli tuff and volcanilithic pebble conglomerate; rare andesite."|"sedimentary siliciclastic"|""
"5005"|"Flat Top Diorite"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|""|""|"Hornblende diorite or gabbro; leucocratic biotite monzogranite, locally with sparse inclusions of 'diorite' and country rocks, some plutons, granophyric;diorite to quartz diorite, biotite quartz monzodiorite? to granodiorite?"|"igneous intermediate intrusive"|""
"5006"|"Flat Top Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|"QLD"|"Siltstone, lithic sandstone, mudstone, conglomerate and minor coquinitic sandy limestone and tuff."|"sedimentary siliciclastic"|""
"1562"|"Snapper Point Formation, Wandrawandian Siltstone"|""|""|"Subgroup"|"Informal"|"Variation of published name"|"Shoalhaven Group"|""|"Fine- to medium-grained sandstone, siltstone, wave rippled conglomerate. Fine-grained quartz-lithic silty sandstone and siltstone"|"sedimentary siliciclastic"|""
"2009"|"Wandrawandian Siltstone"|"Ulladulla Mudstone"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Shoalhaven Group"|"NSW"|"Fine-grained quartz-lithic silty sandstone and siltstone. Deposit of a moderately deep marine shelf environment; displays soft-sediment deformation structures."|"sedimentary siliciclastic"|""
"2905"|"Moonlight Valley Tillite"|"Duerdin Group tillite"|NA|"Formation, beds"|"Formal"|"Variation of published name"|"Duerdin Group"|"WA"|"Massive matrix-supported polymictic pebble to boulder conglomerate; larger clasts striated; poorly sorted massive sandstone"|"sedimentary siliciclastic"|""
"4105"|"Blenheim Formation"|"Blenheim Subgroup"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|""|"Carbonaceous and micaceous labile sandstone, siltstone, shale, coquinite, minor conglomerate."|"sedimentary"|""
"4413"|"Carmila beds"|"Carmila Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|"Lizzie Creek Volcanic Group"|""|"Siltstone and mudstone, volcanilithic sandstone and conglomerate and minor altered basalt; local rhyolitic to dacitic ignimbrite and volcaniclastic rocks."|"argillaceous detrital sediment"|"igneous felsic volcanic"
"6399"|"Peawaddy Formation"|"Peawaddy formation"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|"QLD"|"Carbonaceous mudstone and siltstone, lithic sublabile sandstone, coquinitic siltstone."|"sedimentary siliciclastic"|""
"5313"|"Ingelara Formation"|"Ingelara formation"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|"QLD"|"Conglomeratic sandy siltstone, mudstone, sandstone."|"sedimentary siliciclastic"|""
"214"|"Bakers Creek Diorite"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|""|"Pyroxene diorite, quartz-biotite diorite. Calc-alkaline and tholeiitic complexes associated with the Hillgrove Plutonic Suite."|"igneous intermediate intrusive"|""
"215"|"Bakers Creek Suite"|""|""|"Group, Suite"|"Formal"|"Variation of published name"|""|""|"Contains a variety of rock types ranging from gabbros and diorites through to tonalites and granophyres."|"igneous intermediate intrusive"|""
"3928"|"Bakers Blue Granite"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|""|""|"Biotite-muscovite granodiorite."|"igneous felsic intrusive"|""
"3930"|"Bakerville Granodiorite"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|""|"Medium to dark grey, medium to fine-grained biotite-hornblende to hornblende-biotite granodiorite"|"igneous felsic intrusive"|""
"121"|"Allandale Formation"|"Allandale formation"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Dalwood Group"|""|"Conglomerate, lithic sandstone."|"feldspar- or lithic-rich arenite to rudite"|""
"851"|"Mount Poole Monzogranite"|"Mount Poole Adamellite"|""|"Formation, beds"|"Reserved"|"Variation of published name"|""|""|"Coarse monzogranite"|"igneous felsic-intermediate intrusive"|""
"5628"|"Lizzie Creek Volcanic Group, Mount Wickham Rhyolite"|""|""|"Group, Suite"|"Informal"|"Variation of published name"|""|""|"Basalt, andesite, and interbedded volcanic breccia; generally subordinate dacite, rhyolite, trachyte; conglomerate, labile arenite, siltstone, calcareous siltstone, shale, carbonaceous shale; minor coal; fossil plant fragments common in sedimentary rocks"|"igneous mafic volcanic"|""
"4439"|"Cattle Creek Formation"|"Cattle Creek Shale"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|"QLD"|"Quartzose to sublabile sandstone and mudstone."|"sedimentary siliciclastic"|""
"4437"|"Catherine Sandstone"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|"Back Creek Group"|"QLD"|"Quartzose to sublabile sandstone, siltstone, mudstone."|"sedimentary siliciclastic"|""
"4557"|"Condamine beds"|"Condamine Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|""|""|"Mudstone, acid tuff, sandstone, conglomerate."|"argillaceous detrital sediment"|"igneous felsic volcanic"
"4858"|"Eight Mile Creek beds"|"Eight Mile Creek Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|"Wildash Group"|""|"Conglomerate, sandstone, mudstone, acid volcanics."|"feldspar- or lithic-rich arenite to rudite"|"igneous felsic volcanic"
"8384"|"Eight Mile Creek Granite"|""|NA|"Formation, beds"|"Formal"|"Other new published name"|""|""|"I-type granite"|"igneous felsic intrusive"|""
"8385"|"Eight Mile Creek Granodiorite"|"Eight Mile Creek Granite"|NA|"Formation, beds"|"Reserved"|"Variation of published name"|""|""|"I-type granite"|"igneous felsic intrusive"|""
"6610"|"Rhyolite Range beds"|"Rhyolite Range Beds"|""|"Formation, beds"|"Informal"|"Variation of published name"|"Wildash Group"|""|"Lithic to epiclastic sandstone and siltstone, pebbly orthoconglomerate, rhyolite, dacite and andesite."|"feldspar- or lithic-rich arenite to rudite"|"igneous felsic volcanic"
"5071"|"Gilgurry Mudstone"|"Gilgurry Formation"|""|"Formation, beds"|"Formal"|"Other new published name"|"Wandsworth Volcanic Group"|"NSW"|"Dark grey to green siltstone, siliceous and calcareous mudstone and minor light brown feldspathic sandstone. Mudstone massive and poorly bedded, where calcareous is light grey and contains abundant fossil fragments."|"argillaceous detrital sediment"|""
"3834"|"Alum Rock Conglomerate; Bondonga, Pikedale, Silver Spur and Terrica beds"|""|""|"Formation, beds"|"Informal"|"Variation of published name"|""|""|"Conglomerate, locally pebbly sandstone, and siltstone; rhyolitic to locally dacitic breccia, tuff and lava; minor calcareous arenite and limestone"|"sedimentary siliciclastic"|"igneous felsic volcanic"
"6795"|"Silver Spur beds"|"Silver Spur Beds"|""|"Formation, beds"|"Informal"|"Unknown or process pending"|""|""|"Conglomerate, pebbly mudstone and arenite, mudstone, shale, phyllite, limestone."|"sedimentary siliciclastic"|""
"1070"|"Nowra Sandstone"|""|""|"Formation, beds"|"Formal"|"Variation of published name"|"Shoalhaven Group"|"NSW"|"Quartzose sandstone, minor siltstone plus conglomerate beds."|"quartz-rich arenite to rudite"|""
"1273"|"Porcupine Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Millie Group"|"NSW"|"Basal conglomerate passing upward into bioturbated silty sandstone and minor siltstone with dropped pebbles."|"sedimentary siliciclastic"|""
"6503"|"Porcupine Creek rhyolite"|""|""|"Formation, beds"|"Informal"|"Other new published name"|""|""|"Brown, grey to purple, generally crystal-rich rhyolitic ignimbrite"|"igneous felsic volcanic"|""
"6504"|"Porcupine Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Millie Group"|"NSW"|"Basal conglomerate passing upward into bioturbated silty sandstone and minor siltstone with dropped pebbles."|"sedimentary siliciclastic"|""
"7611"|"Porcupine Creek Granodiorite"|"Porcupine Creek Granite"|NA|"Formation, beds"|"Reserved"|"Variation of published name"|""|""|"I-type biotite-hornblende granodiorite"|"igneous felsic intrusive"|""
"2061"|"Watermark Formation"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Millie Group"|""|"Siltstone, claystone, silty sandstone, thinly bedded siltstone and sandstone."|"sedimentary siliciclastic"|""
"311"|"Black Jack Group"|"Black Jack Formation"|""|"Group, Suite"|"Formal"|"Variation of published name"|""|""|"Sandstone, sediments"|"sedimentary siliciclastic"|""
"4080"|"Black Jack Granodiorite"|""|""|"Formation, beds"|"Formal"|"Other new published name"|""|"QLD"|"Grey to pink, variably altered, biotite granite; hornblende-biotite granodiorite characterised by large blue quartz anhedra"|"igneous felsic intrusive"|""
"1815"|"Tomago Coal Measures"|""|""|"Group, Suite"|"Formal"|"Other new published name"|"Singleton Supergroup"|"NSW"|"Siltstone, sandstone, coal,  tuff, claystone, conglomerate, minor clay."|"sedimentary siliciclastic"|"organic-rich rock"
"4073"|"Black Alley Shale"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Back Creek Group"|"QLD"|"Shale, siltstone, tuff, bentonite, labile sandstone."|"sedimentary siliciclastic"|"igneous volcanic"
"928"|"Muree Sandstone"|"Muree Formation"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Maitland Group"|""|"Fine to coarse-grained sandstone, conglomerate, minor clay."|"sedimentary siliciclastic"|""
"4246"|"Broughton River Granodiorite"|"Broughton River granodiorite"|""|"Formation, beds"|"Formal"|"Variation of published name"|""|"QLD"|"Medium-grained, slightly porphyritic, hornblende-biotite granodiorite; granite"|"igneous felsic intrusive"|""
"4247"|"Broughton River Suite"|""|""|"Group, Suite"|"Formal"|"Variation of published name"|""|""|"granodiorite"|"igneous felsic intrusive"|""
"5542"|"Lakes Creek Formation"|"Lakes Creek Beds"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Berserker Group"|""|"Grey, massive, indurated siltstone and lithofeldspathic to quartzolithofeldspathic sandstones derived  from felsic to intermediate volcanics. Local fosssiliferous beds in Lakes Creek area ."|"argillaceous detrital sediment"|""
"6826"|"South Curra Limestone"|""|""|"Formation, beds"|"Formal"|"Other new published name"|"Gympie Group"|"QLD"|"Bioclastic grainstone, calcilutite."|"sedimentary carbonate"|""
"894"|"Mulbring Siltstone"|"Mulbring siltstone"|""|"Formation, beds"|"Formal"|"Variation of published name"|"Maitland Group"|""|"Siltstone, claystone, minor fine-grained sandstone."|"argillaceous detrital sediment"|""
"1844"|"Towgon Grange Tonalite"|"Towgon Grange Granodiorite"|""|"Formation, beds"|"Reserved"|"Variation of published name"|""|""|"Medium to coarse-grained, equigranular to weakly porphyritic, hornblende-biotite granodiorite, tonalite, quartz-diorite and diorite"|"igneous felsic intrusive"|"igneous intermediate intrusive"
