**************************************************************************************************************
Data downloaded from FRED (http://www.fred.org.nz) on February 21, 2015
FRED is the computer database for the NZ Fossil Record File (FRF), which is a nationally significant database administrated by GSNZ and GNS Science                                
Please acknowledge use of this data in publications, reports and presentations.                               
**************************************************************************************************************

********
Paleontology
********
FR Number	Yard FR Number	Locality Type	Field Number/Drillhole Name	Depth From	Depth To	Depth Unit	Drill Type	Identifiers	Identification Date	Stage Lower	Lower Modifier	Stage Upper	Upper Modifier	Age Start	Age Stop	Stage Comments	nLab Number	Collection Comments
CH/f0023A		Outcrop						Maxwell, P.A.; 	1991	Opoitian		Mangapanian		5.3	2.4	LOWER Wo-Wm - ADOPTED AGE.	GNS GS 12161	REFER NZGS BULL. 105 (1991).	
CH/f0025B		Outcrop						Buckeridge, J.; 	1979	Opoitian				5.3	3.7		GNS GS 12164	Ph. D. THESIS.	
CH/f0025B		Outcrop						Beu, A.G.; 	1987	Waipipian				3.7	3.0		GNS GS 12164	DET. PUBLISHED PAL. BULL. 54: 23.	
CH/f0025B		Outcrop						Beu, A.G.; 	1991	Opoitian		Mangapanian		5.3	2.4	LOWER Wo-Wm - ADOPTED AGE.	GNS GS 12164	REFER NZGS BULL. 105 (1991).	
CH/f0039		Outcrop	Chatham Is. 97					Scott, A.U.E.; 		Wanganui Series				5.3	0.0	PLIOCENE, COMPARABLE TO PITT ISLAND FAUNA. FIRST RECORD OF PLIOCENE BEDS ON CHATHAM ISLANDS.	GNS GS 6958	NOTE BY C.A. FLEMING, JULY 1957: THIS COLLECTION CLOSELY RESEMBLES WHENUATARU (PITT IS) SPECIMENS IN SPECIFIC CONTENT AND PRESERVATION AND DIFFERS MARKEDLY FROM THE COLLECTION MADE BY ALLAN & MARWICK, AND LATER BY POWELL & FLEMING (? EOCENE). R.F. HAY REPORTS THAT A MISCELLANEOUS COLLECTION OF FOSSILS WAS BAGGED, AND W. WATTERS THAT IN SEEKING TO LABEL AN UNLABELLED BAG, IT WAS ALLOTTED TO THE WIRELESS STATION LOCALITY. IN VIEW OF THIS DOUBT, THE LOCALITY SHOULD NOT BE ACCEPTED. PROBABLY THIS IS PITT IS. MATERIAL, AT LEAST IN PART.	
CH/f0039		Outcrop	Chatham Is. 97					Maxwell, P.A.; 	1991	Teurian		Waipawan		66.0	53.7	ADOPTED AGE.	GNS GS 6958	REFER NZGS BULL. 105 (1991).	
CH/f0045		Outcrop	Chatham Is. 117 and 118					Scott, A.U.E.; 		not determined				999.9	0.0		GNS GS 6970		
CH/f0045		Outcrop	Chatham Is. 117 and 118					Maxwell, P.A.; 	1991	Waipawan		Whaingaroan		56.0	27.3	ADOPTED AGE.	GNS GS 6970	REFER NZGS BULL. 105 (1991).	
CH/f0076		Outcrop	Mangare Is. 269					Beu, A.G.; 	August 5, 1988	not determined				999.9	0.0	PROBABLY PRE-PLIOCENE.	GNS GS 6971		
CH/f0076		Outcrop	Mangare Is. 269					Maxwell, P.A.; 	1991	Tongaporutuan				11.0	7.2	ADOPTED AGE.	GNS GS 6971	REFER NZGS BULL. 105 (1991).	
CH/f0078		Outcrop	Chatham Is. 271					Scott, A.U.E.; 		Nukumaruan				2.4	1.63	LOWER.	GNS GS 6894		
CH/f0078		Outcrop	Chatham Is. 271					Maxwell, P.A.; 	1991	Nukumaruan				2.4	1.63		GNS GS 6894	REFER NZGS BULL. 105 (1991).	
CH/f0095		Outcrop						Fleming, C.A.; 									GNS GS 6213	MANY SPINES TO H.B.F. 11/1954.	
