taxon_name	phylum	class	feeding
Curdus	Brachiopoda	Lingulata	1
Diandongia	Brachiopoda	Lingulata	1
Edreja	Brachiopoda	Lingulata	1
Glyptias	Brachiopoda	Lingulata	1
Karathele	Brachiopoda	Lingulata	1
Minlatonia	Brachiopoda	Lingulata	1
Neobolus	Brachiopoda	Lingulata	1
Acrosaccus	Brachiopoda	Lingulata	1
Discina	Brachiopoda	Lingulata	1
Discinisca	Brachiopoda	Lingulata	1
Discradisca	Brachiopoda	Lingulata	1
Heliomedusa	Brachiopoda	Lingulata	1
Heliomedusa	Brachiopoda	Lingulata	1
Kosoidea	Brachiopoda	Lingulata	1
Lindstroemella	Brachiopoda	Lingulata	1
Lingulodiscina	Brachiopoda	Lingulata	1
Lochkothele	Brachiopoda	Lingulata	1
Oehlertella	Brachiopoda	Lingulata	1
Orbiculoidea	Brachiopoda	Lingulata	1
Roemerella	Brachiopoda	Lingulata	1
Schizotreta	Brachiopoda	Lingulata	1
Drabodiscina	Brachiopoda	Lingulata	1
Ljaschenkovia	Brachiopoda	Lingulata	1
Schizobolus	Brachiopoda	Lingulata	1
Orbiculothyris	Brachiopoda	Lingulata	1
Schizocrania	Brachiopoda	Lingulata	1
Ptychopeltis	Brachiopoda	Lingulata	1
Trematis	Brachiopoda	Lingulata	1
Aulonotreta	Brachiopoda	Lingulata	1
Dysoristus	Brachiopoda	Lingulata	1
Ferrobolus	Brachiopoda	Lingulata	1
Broeggeria	Brachiopoda	Lingulata	1
Elkania	Brachiopoda	Lingulata	1
Elkanisca	Brachiopoda	Lingulata	1
Lamanskya	Brachiopoda	Lingulata	1
Monobolina	Brachiopoda	Lingulata	1
Pseudodicellomus	Brachiopoda	Lingulata	1
Tilasia	Brachiopoda	Lingulata	1
Volborthia	Brachiopoda	Lingulata	1
Eoobolus	Brachiopoda	Lingulata	1
Kyrshabaktella	Brachiopoda	Lingulata	1
Lingulasma	Brachiopoda	Lingulata	1
Aboriginella	Brachiopoda	Lingulata	1
Lingulellotreta	Brachiopoda	Lingulata	1
Mirilingula	Brachiopoda	Lingulata	1
Vaculina	Brachiopoda	Lingulata	1
Vaculina	Brachiopoda	Lingulata	1
Apsilingula	Brachiopoda	Lingulata	1
Barroisella	Brachiopoda	Lingulata	1
Credolingula	Brachiopoda	Lingulata	1
Dignomia	Brachiopoda	Lingulata	1
Glottidia	Brachiopoda	Lingulata	1
Langella	Brachiopoda	Lingulata	1
Lingula	Brachiopoda	Lingulata	1
Lingularia	Brachiopoda	Lingulata	1
Semilingula	Brachiopoda	Lingulata	1
Aksarinaia	Brachiopoda	Lingulata	1
Anomaloglossa	Brachiopoda	Lingulata	1
Anx	Brachiopoda	Lingulata	1
Apatobolus	Brachiopoda	Lingulata	1
Atansoria	Brachiopoda	Lingulata	1
Barbatulella	Brachiopoda	Lingulata	1
Casquella	Brachiopoda	Lingulata	1
Dicellomus	Brachiopoda	Lingulata	1
Ectenoglossa	Brachiopoda	Lingulata	1
Elliptoglossa	Brachiopoda	Lingulata	1
Eodicellomus	Brachiopoda	Lingulata	1
Expellobolus	Brachiopoda	Lingulata	1
Experilingula	Brachiopoda	Lingulata	1
Fezzanoglossa	Brachiopoda	Lingulata	1
Fordinia	Brachiopoda	Lingulata	1
Foveola	Brachiopoda	Lingulata	1
Glossella	Brachiopoda	Lingulata	1
Glyptoglossella	Brachiopoda	Lingulata	1
Lachrymula	Brachiopoda	Lingulata	1
Leontiella	Brachiopoda	Lingulata	1
Leptembolon	Brachiopoda	Lingulata	1
Leptobolus	Brachiopoda	Lingulata	1
Libyaeglossa	Brachiopoda	Lingulata	1
Lindinella	Brachiopoda	Lingulata	1
Lindinella	Brachiopoda	Lingulata	1
Lingulella	Brachiopoda	Lingulata	1
Lingulepis	Brachiopoda	Lingulata	1
Lingulobolus	Brachiopoda	Lingulata	1
Lingulops	Brachiopoda	Lingulata	1
Notiobolus	Brachiopoda	Lingulata	1
Obolus	Brachiopoda	Lingulata	1
Oepikites	Brachiopoda	Lingulata	1
Pachyglossella	Brachiopoda	Lingulata	1
Palaeobolus	Brachiopoda	Lingulata	1
Palaeoglossa	Brachiopoda	Lingulata	1
Plectoglossa	Brachiopoda	Lingulata	1
Pseudobolus	Brachiopoda	Lingulata	1
Rafanoglossa	Brachiopoda	Lingulata	1
Schmidtites	Brachiopoda	Lingulata	1
Sinoglossa	Brachiopoda	Lingulata	1
Spinilingula	Brachiopoda	Lingulata	1
Spondyglossella	Brachiopoda	Lingulata	1
Trigonoglossa	Brachiopoda	Lingulata	1
Tunisiglossa	Brachiopoda	Lingulata	1
Westonia	Brachiopoda	Lingulata	1
Westonisca	Brachiopoda	Lingulata	1
Diencobolus	Brachiopoda	Lingulata	1
Paterula	Brachiopoda	Lingulata	1
Bicarinatina	Brachiopoda	Lingulata	1
Pseudolingula	Brachiopoda	Lingulata	1
Tarutiglossa	Brachiopoda	Lingulata	1
Wadiglossa	Brachiopoda	Lingulata	1
Canalilatus	Brachiopoda	Lingulata	1
Fossuliella	Brachiopoda	Lingulata	1
Hyperobolus	Brachiopoda	Lingulata	1
Rosobolus	Brachiopoda	Lingulata	1
Rowellella	Brachiopoda	Lingulata	1
Thysanotos	Brachiopoda	Lingulata	1
Tropidoglossa	Brachiopoda	Lingulata	1
Wahwahlingula	Brachiopoda	Lingulata	1
Zhanatella	Brachiopoda	Lingulata	1
Bistramia	Brachiopoda	Lingulata	1
Lingulipora	Brachiopoda	Lingulata	1
Oxlosia	Brachiopoda	Lingulata	1
Tomasina	Brachiopoda	Lingulata	1
Acanthambonia	Brachiopoda	Lingulata	1
Alichovia	Brachiopoda	Lingulata	1
Celdobolus	Brachiopoda	Lingulata	1
Cyrbasiotreta	Brachiopoda	Lingulata	1
Eosiphonotreta	Brachiopoda	Lingulata	1
Helmersenia	Brachiopoda	Lingulata	1
Karnotreta	Brachiopoda	Lingulata	1
Mesotreta	Brachiopoda	Lingulata	1
Multispinula	Brachiopoda	Lingulata	1
Nushbiella	Brachiopoda	Lingulata	1
Schizambon	Brachiopoda	Lingulata	1
Siphonobolus	Brachiopoda	Lingulata	1
Siphonotreta	Brachiopoda	Lingulata	1
Siphonotretella	Brachiopoda	Lingulata	1
Aldanotreta	Brachiopoda	Paterinata	1
Askepasma	Brachiopoda	Paterinata	1
Cryptotreta	Brachiopoda	Paterinata	1
Dictyonina	Brachiopoda	Paterinata	1
Dictyonites	Brachiopoda	Paterinata	1
Kolihium	Brachiopoda	Paterinata	1
Lacunites	Brachiopoda	Paterinata	1
Micromitra	Brachiopoda	Paterinata	1
Paterina	Brachiopoda	Paterinata	1
Wynnia	Brachiopoda	Paterinata	1
Mickwitzia	Brachiopoda	Paterinata	1
Acareorthis	Brachiopoda	Chileata	1
Chile	Brachiopoda	Chileata	1
Kotujella	Brachiopoda	Chileata	1
Kotujella	Brachiopoda	Chileata	1
Matutella	Brachiopoda	Chileata	1
Matutella	Brachiopoda	Chileata	1
Eichwaldia	Brachiopoda	Chileata	1
Eichwaldia	Brachiopoda	Chileata	1
Dictyonella	Brachiopoda	Chileata	1
Eodictyonella	Brachiopoda	Chileata	1
Isogramma	Brachiopoda	Chileata	1
Megapleuronia	Brachiopoda	Chileata	1
Schizopleuronia	Brachiopoda	Chileata	1
Yorkia	Brachiopoda	Kutorginata	1
Agyrekia	Brachiopoda	Kutorginata	1
Kutorgina	Brachiopoda	Kutorginata	1
Eoconcha	Brachiopoda	Kutorginata	1
Eoconcha	Brachiopoda	Kutorginata	1
Khasagtina	Brachiopoda	Kutorginata	1
Narynella	Brachiopoda	Kutorginata	1
Narynella	Brachiopoda	Kutorginata	1
Nisusia	Brachiopoda	Kutorginata	1
Nisusia	Brachiopoda	Kutorginata	1
Trematosia	Brachiopoda	Kutorginata	1
Anomalocalyx	Brachiopoda	Kutorginata	1
Bynguanoia	Brachiopoda	Obolellata	1
Naukat	Brachiopoda	Obolellata	1
Oina	Brachiopoda	Obolellata	1
Pelmanella	Brachiopoda	Obolellata	1
Bicia	Brachiopoda	Obolellata	1
Brevipelta	Brachiopoda	Obolellata	1
Ivshinella	Brachiopoda	Obolellata	1
Magnicanalis	Brachiopoda	Obolellata	1
Obolella	Brachiopoda	Obolellata	1
Alisina	Brachiopoda	Obolellata	1
Sibiria	Brachiopoda	Obolellata	1
Trematobolus	Brachiopoda	Obolellata	1
Actinoconchus	Brachiopoda	Rhynchonellata	1
Alvarezites	Brachiopoda	Rhynchonellata	1
Anathyrella	Brachiopoda	Rhynchonellata	1
Anathyris	Brachiopoda	Rhynchonellata	1
Araxathyris	Brachiopoda	Rhynchonellata	1
Athyris	Brachiopoda	Rhynchonellata	1
Kwangsia	Brachiopoda	Rhynchonellata	1
Athyrisinopsis	Brachiopoda	Rhynchonellata	1
Athyrisina	Brachiopoda	Rhynchonellata	1
Atrythyris	Brachiopoda	Rhynchonellata	1
Bajtugania	Brachiopoda	Rhynchonellata	1
Biernatella	Brachiopoda	Rhynchonellata	1
Brimethyris	Brachiopoda	Rhynchonellata	1
Bruntonites	Brachiopoda	Rhynchonellata	1
Buchanathyris	Brachiopoda	Rhynchonellata	1
Cardiothyris	Brachiopoda	Rhynchonellata	1
Carteridina	Brachiopoda	Rhynchonellata	1
Cleiothyridina	Brachiopoda	Rhynchonellata	1
Collarothyris	Brachiopoda	Rhynchonellata	1
Comelicania	Brachiopoda	Rhynchonellata	1
Comelicothyris	Brachiopoda	Rhynchonellata	1
Composita	Brachiopoda	Rhynchonellata	1
Crinisarina	Brachiopoda	Rhynchonellata	1
Cryptospirifer	Brachiopoda	Rhynchonellata	1
Deltachania	Brachiopoda	Rhynchonellata	1
Densalvus	Brachiopoda	Rhynchonellata	1
Dichozygopleura	Brachiopoda	Rhynchonellata	1
Didymothyris	Brachiopoda	Rhynchonellata	1
Dogdathyris	Brachiopoda	Rhynchonellata	1
Eifyris	Brachiopoda	Rhynchonellata	1
Eobiernatella	Brachiopoda	Rhynchonellata	1
Galeatathyris	Brachiopoda	Rhynchonellata	1
Glassina	Brachiopoda	Rhynchonellata	1
Gonathyris	Brachiopoda	Rhynchonellata	1
Greenfieldia	Brachiopoda	Rhynchonellata	1
Gruntallina	Brachiopoda	Rhynchonellata	1
Gruntea	Brachiopoda	Rhynchonellata	1
Guaxa	Brachiopoda	Rhynchonellata	1
Helenathyris	Brachiopoda	Rhynchonellata	1
Himathyris	Brachiopoda	Rhynchonellata	1
Jkella	Brachiopoda	Rhynchonellata	1
Ikella	Brachiopoda	Rhynchonellata	1
Imacanthyris	Brachiopoda	Rhynchonellata	1
Iniathyris	Brachiopoda	Rhynchonellata	1
Janiceps	Brachiopoda	Rhynchonellata	1
Jarovathyris	Brachiopoda	Rhynchonellata	1
Johnsonathyris	Brachiopoda	Rhynchonellata	1
Juxathyris	Brachiopoda	Rhynchonellata	1
Lamellosathyris	Brachiopoda	Rhynchonellata	1
Leiothycridina	Brachiopoda	Rhynchonellata	1
Leptathyris	Brachiopoda	Rhynchonellata	1
Flexathyris	Brachiopoda	Rhynchonellata	1
Lochengia	Brachiopoda	Rhynchonellata	1
Meristospira	Brachiopoda	Rhynchonellata	1
Nordathyris	Brachiopoda	Rhynchonellata	1
Pachyplax	Brachiopoda	Rhynchonellata	1
Pachyplaxoides	Brachiopoda	Rhynchonellata	1
Parathyrisina	Brachiopoda	Rhynchonellata	1
Athyrisinoides	Brachiopoda	Rhynchonellata	1
