taxon_name	int_midpoint	taxon	sub	size
Callista	0.01	Biv	Het	106.1
Calloarca	0.01	Biv	nonHet	46.8
Callocardia	0.01	Biv	Het	28.3
Callogonia	0.01	Biv	Het	96
Callonaia	0.01	Biv	nonHet	52.56
Callucina	0.01	Biv	Het	18.04285714
Calorhadia	0.01	Biv	nonHet	45.12
Calyptogena	0.01	Biv	nonHet	250
Cameronia	0.01	Biv	nonHet	142.8
Canthyria	0.01	Biv	nonHet	85.06
Capsaeformis	0.01	Biv	nonHet	42.42
Cardilia	0.01	Biv	nonHet	24
Cardiocardita	0.01	Biv	Het	55
Cardita	0.01	Biv	Het	90.6
Carditamera	0.01	Biv	Het	101.2
Carditella	0.01	Biv	Het	10
Carditellona	0.01	Biv	Het	6.7
Carditellopsis	0.01	Biv	Het	4
Cardites	0.01	Biv	nonHet	80.1
Carditopsis	0.01	Biv	nonHet	10
Cardium	0.01	Biv	Het	140.6
Caribachlamys	0.01	Biv	nonHet	66.5
Carinadonax	0.01	Biv	nonHet	52
Carunculina	0.01	Biv	nonHet	36.31
Caryocorbula	0.01	Biv	nonHet	30.8
Castalia	0.01	Biv	nonHet	41.52
Castaliella	0.01	Biv	nonHet	56.4375
Castalina	0.01	Biv	nonHet	58.2625
Caudiculatus	0.01	Biv	nonHet	61.525
Cavilinga	0.01	Biv	Het	5.350769231
Centrocardita	0.01	Biv	Het	45
Cerastoderma	0.01	Biv	nonHet	56.6
Ceronia	0.01	Biv	nonHet	55
Cetomya	0.01	Biv	nonHet	22.95
Cetothrax	0.01	Biv	nonHet	83
Chaceia	0.01	Biv	Het	125
Chama	0.01	Biv	Het	146.7
Chamberlainia	0.01	Biv	nonHet	196.5333333
Chamelea	0.01	Biv	nonHet	48.4
Chametrachea	0.01	Biv	nonHet	500
Chattonia	0.01	Biv	Het	5.1525
Chelidonopsis	0.01	Biv	nonHet	101.14
Chevronaias	0.01	Biv	nonHet	42.23
Chion	0.01	Biv	Het	49
Chione	0.01	Biv	Het	76.4
Chioneryx	0.01	Biv	Het	21
Chionista	0.01	Biv	nonHet	88.5
Chionopsis	0.01	Biv	Het	116.7
Chlamydella	0.01	Biv	nonHet	3.628461539
Chlamys	0.01	Biv	nonHet	140
Choniocardia	0.01	Biv	nonHet	10.49
Choromytilus	0.01	Biv	nonHet	198
Chrysopseudodon	0.01	Biv	nonHet	34.81
Ciclopecten	0.01	Biv	nonHet	30
Ciliatocardium	0.01	Biv	nonHet	86.7
Circe	0.01	Biv	Het	64.9
Circenita	0.01	Biv	nonHet	47.9
Circomphalus	0.01	Biv	nonHet	83
Claudiconcha	0.01	Biv	nonHet	30
Clausinella	0.01	Biv	nonHet	30
Clavagella	0.01	Biv	nonHet	81.3
Cleidothaerus	0.01	Biv	nonHet	75
Clementia	0.01	Biv	Het	99.6
Clencharia	0.01	Biv	nonHet	7.8
Clidiophora	0.01	Biv	nonHet	39
Clinocardium	0.01	Biv	nonHet	146
Clunaculum	0.01	Biv	Het	53.7
Cnesterium	0.01	Biv	nonHet	50
Cochlodesma	0.01	Biv	nonHet	44
Codakia	0.01	Biv	Het	76.4375
Coelomactra	0.01	Biv	Het	109.4
Coeloteredo	0.01	Biv	Het	2.786451613
Cokeria	0.01	Biv	nonHet	68.93333333
Colorimactra	0.01	Biv	nonHet	35
Compsomyax	0.01	Biv	nonHet	85
Comus	0.01	Biv	Het	35
Conchocele	0.01	Biv	Het	28.35714286
Conchodromus	0.01	Biv	nonHet	60.5
Condylocardia	0.01	Biv	nonHet	3.1
Condylocuna	0.01	Biv	nonHet	1.8
Conradilla	0.01	Biv	nonHet	43.21
Cooperella	0.01	Biv	Het	21.4
Coralliophaga	0.01	Biv	Het	63
Corallospondylus	0.01	Biv	nonHet	15.48
Corbicula	0.01	Biv	Het	23.13
Corbula	0.01	Biv	Het	26.3
Coripia	0.01	Biv	Het	6.5
Cosa	0.01	Biv	nonHet	4.5
Cosmopseudodon	0.01	Biv	nonHet	75.42857143
Costacallista	0.01	Biv	nonHet	93.3
Costanuculana	0.01	Biv	nonHet	24.4
Costatoleda	0.01	Biv	nonHet	37.32
Costeina	0.01	Biv	nonHet	69.56666667
Costellipitar	0.01	Biv	nonHet	35
Costelloleda	0.01	Biv	nonHet	40
Costokidderia	0.01	Biv	nonHet	7
Crassadoma	0.01	Biv	nonHet	266.7
Crassatella	0.01	Biv	Het	102.36
Crassatina	0.01	Biv	Het	33.5
Crassinella	0.01	Biv	nonHet	10
Crassithracia	0.01	Biv	nonHet	49
Crassula	0.01	Biv	Het	77
Crassulobia	0.01	Biv	nonHet	40
Cratis	0.01	Biv	nonHet	7
Crenatula	0.01	Biv	nonHet	94.3
Crenella	0.01	Biv	nonHet	10
Crenostrea	0.01	Biv	nonHet	164.08
Crepispisula	0.01	Biv	nonHet	70
Cricoploma	0.01	Biv	nonHet	62.5
Crista	0.01	Biv	nonHet	49.8
Cryptomactra	0.01	Biv	Het	23.25
Cryptomya	0.01	Biv	Het	37
Cryptonemella	0.01	Biv	Het	34.9
Cryptopecten	0.01	Biv	nonHet	43.52
Ctenocardia	0.01	Biv	Het	59.5
Ctenodesma	0.01	Biv	nonHet	62.2125
Ctenoides	0.01	Biv	nonHet	115.4
Cucullaea	0.01	Biv	nonHet	136.5
Cucullaearca	0.01	Biv	nonHet	134
Cucumerunio	0.01	Biv	nonHet	193.9
Cultellus	0.01	Biv	Het	155
Cumberlandia	0.01	Biv	nonHet	95.26
Cumingia	0.01	Biv	nonHet	52
Cuna	0.01	Biv	nonHet	81
Cunanax	0.01	Biv	nonHet	9
Cunearca	0.01	Biv	nonHet	78
Cuneopsidea	0.01	Biv	nonHet	70.34
Cuneopsis	0.01	Biv	nonHet	88.9
Cuneus	0.01	Biv	Het	40.6
Cuspidaria	0.01	Biv	nonHet	62.5
Cyamiomactra	0.01	Biv	nonHet	11
Cyamionema	0.01	Biv	nonHet	6.703571429
Cyanocyclas	0.01	Biv	Het	18.81
Cyathodonta	0.01	Biv	nonHet	73
Cycladicama	0.01	Biv	Het	18.205
Cyclina	0.01	Biv	Het	72
Cyclinella	0.01	Biv	nonHet	81.3
Cyclocardia	0.01	Biv	Het	60
Cyclochlamys	0.01	Biv	nonHet	5.9
Cyclomactra	0.01	Biv	Het	85
Cyclopecten	0.01	Biv	nonHet	25
Cyclotellina	0.01	Biv	Het	22.47
Cymatoica	0.01	Biv	Het	17.345
Cyprogenia	0.01	Biv	nonHet	45.67
Cyrtodaria	0.01	Biv	Het	90
Cyrtonaias	0.01	Biv	nonHet	88.5
Cyrtopinna	0.01	Biv	nonHet	550
Cyrtopleura	0.01	Biv	Het	57.81
Cytherocardia	0.01	Biv	Het	32.22
Dacosta	0.01	Biv	nonHet	83.05
Dacrydium	0.01	Biv	nonHet	8.2
Dallocardia	0.01	Biv	nonHet	143.6
Decatopecten	0.01	Biv	nonHet	73.3
Decurambis	0.01	Biv	nonHet	62.85
Delectopecten	0.01	Biv	nonHet	45
Delphinonaias	0.01	Biv	nonHet	66.17142857
Deminucula	0.01	Biv	nonHet	7
Dendostrea	0.01	Biv	nonHet	120
Dentilatona	0.01	Biv	nonHet	34
Dermatomya	0.01	Biv	nonHet	27
Dianadema	0.01	Biv	nonHet	60
Diaurora	0.01	Biv	nonHet	32.67
Diberus	0.01	Biv	nonHet	72.5
Didimacar	0.01	Biv	nonHet	20
Digitaria	0.01	Biv	nonHet	10
Dimya	0.01	Biv	nonHet	21.3
Dinocardium	0.01	Biv	Het	149
Diplodon	0.01	Biv	nonHet	48.68
Diplodonta	0.01	Biv	Het	13.15333333
Diplodontites	0.01	Biv	nonHet	34.67
Diplopseudodon	0.01	Biv	nonHet	73.42857143
Discomya	0.01	Biv	nonHet	56.24
Disconaias	0.01	Biv	nonHet	148.9666667
Distugonia	0.01	Biv	nonHet	21
Divalinga	0.01	Biv	Het	17.89
Divalucina	0.01	Biv	nonHet	25.76666667
Divaricella	0.01	Biv	Het	41.93
Divarikellia	0.01	Biv	Het	5.0015625
Divarilima	0.01	Biv	nonHet	10
Donacopsis	0.01	Biv	Het	20.15
Donax	0.01	Biv	Het	85.8
Dorisca	0.01	Biv	Het	11.2
Dosina	0.01	Biv	nonHet	66
Dosinella	0.01	Biv	Het	62
Dosinia	0.01	Biv	Het	156.5
Dosinobia	0.01	Biv	Het	22.9
Dosinorbis	0.01	Biv	Het	89.2
Duplipecten	0.01	Biv	nonHet	65.02857143
Dysmea	0.01	Biv	Het	128.5
Dysnomia	0.01	Biv	nonHet	50.26
Eamesiella	0.01	Biv	nonHet	18.175
Eastonia	0.01	Biv	nonHet	85.3
Egesta	0.01	Biv	nonHet	81
Egracina	0.01	Biv	Het	15.244
Electroma	0.01	Biv	nonHet	77
Electromactra	0.01	Biv	Het	23.4
Elliptoideus	0.01	Biv	nonHet	20.42
Elongaria	0.01	Biv	nonHet	66.05714286
Elpidollina	0.01	Biv	Het	56.15714286
Eltopera	0.01	Biv	nonHet	50.39
Empleconia	0.01	Biv	nonHet	40
Endomargarus	0.01	Biv	nonHet	6.863333333
Endopleura	0.01	Biv	Het	23
Enigmonia	0.01	Biv	nonHet	56
Ennucula	0.01	Biv	nonHet	36.3
Ensiculus	0.01	Biv	Het	93.86
Ensidens	0.01	Biv	nonHet	57.07142857
Ensis	0.01	Biv	nonHet	250
Ensisolen	0.01	Biv	nonHet	120
Ensitellops	0.01	Biv	nonHet	12.1
Eodivaricella	0.01	Biv	Het	8.796969697
Eolimea	0.01	Biv	nonHet	4.525
Eolymnium	0.01	Biv	nonHet	46.39
Eomactra	0.01	Biv	Het	23.83
Eomiltha	0.01	Biv	Het	33.95714286
Eonavicula	0.01	Biv	nonHet	40.66923077
Eontia	0.01	Biv	nonHet	78.3
Eopseuma	0.01	Biv	Het	60
Eosolen	0.01	Biv	Het	119.92
Eostrea	0.01	Biv	nonHet	125
Eoursivivas	0.01	Biv	Het	19.40666667
Ephippium	0.01	Biv	nonHet	198
Epicodakia	0.01	Biv	nonHet	17.01304348
Equichlamys	0.01	Biv	nonHet	135
Erodona	0.01	Biv	Het	41.51666667
Ervilia	0.01	Biv	nonHet	15
Erycinopsis	0.01	Biv	Het	4.418181818
Escalima	0.01	Biv	nonHet	14.9
Eucrassatella	0.01	Biv	Het	121
Eufistulana	0.01	Biv	Het	275
Eumarcia	0.01	Biv	nonHet	56.2
Eurhomalea	0.01	Biv	nonHet	106
Eurytellina	0.01	Biv	Het	36.57
Eutivela	0.01	Biv	Het	66
Euvola	0.01	Biv	nonHet	127.4
Excellichlamys	0.01	Biv	nonHet	44
Eximiothracia	0.01	Biv	nonHet	35
Exitopinna	0.01	Biv	nonHet	370
Exocholeda	0.01	Biv	nonHet	8
Exosiperna	0.01	Biv	nonHet	7
Exotica	0.01	Biv	Het	11.4
Fabella	0.01	Biv	Het	13.6
Fabulina	0.01	Biv	Het	31.79
Fallartemis	0.01	Biv	nonHet	50
Felaniella	0.01	Biv	Het	17.04
Felicia	0.01	Biv	nonHet	80
Fimbria	0.01	Biv	nonHet	133
Finlayella	0.01	Biv	Het	14.865
Flabellipecten	0.01	Biv	nonHet	78.7
Flexicorbula	0.01	Biv	Het	12.43333333
Flexopecten	0.01	Biv	nonHet	90.7
Florimetis	0.01	Biv	nonHet	49
Fluctiger	0.01	Biv	nonHet	11
Fluviolanatus	0.01	Biv	nonHet	15
Foegia	0.01	Biv	nonHet	130
Foramelina	0.01	Biv	nonHet	108.5
Fortipecten	0.01	Biv	nonHet	131.125
Fossula	0.01	Biv	nonHet	84.5
Foveadens	0.01	Biv	nonHet	26
Fragum	0.01	Biv	Het	76
Frenamya	0.01	Biv	nonHet	36
Friersonia	0.01	Biv	nonHet	49
Frigidocardium	0.01	Biv	Het	29.7
Fugleria	0.01	Biv	nonHet	38.1
Fulcrella	0.01	Biv	nonHet	6.562264151
Fulvia	0.01	Biv	nonHet	100
Fungiacava	0.01	Biv	nonHet	15
Gabillotia	0.01	Biv	nonHet	113.325
Gafrarium	0.01	Biv	nonHet	42.1
Gaimardia	0.01	Biv	nonHet	32
Gari	0.01	Biv	Het	60
Garum	0.01	Biv	Het	46.69
Gastochaena	0.01	Biv	Het	25.04
Gastrana	0.01	Biv	nonHet	24.42
Gastranopsis	0.01	Biv	Het	7.723333333
Gastrochaena	0.01	Biv	nonHet	57
Gemellima	0.01	Biv	nonHet	17.5
Gemma	0.01	Biv	nonHet	4.25
Genaxinus	0.01	Biv	Het	2.164
Geukensia	0.01	Biv	nonHet	133
Gibbolucina	0.01	Biv	Het	13.09
Gibbomodiola	0.01	Biv	nonHet	130
