taxon_name	int_midpoint	taxon	sub	size
Strigilla	0.01	Biv	Het	17.63
Tagelus	0.01	Biv	Het	150
Tegillarca	0.01	Biv	nonHet	88
Tellidora	0.01	Biv	nonHet	36.19
Tellimya	0.01	Biv	nonHet	7.5075
Tellina	0.01	Biv	Het	70.95714286
Theora	0.01	Biv	Het	26.2
Thracia	0.01	Biv	nonHet	120
Thyasira	0.01	Biv	Het	16.21
Tindariopsis	0.01	Biv	nonHet	26.3
Trachycardium	0.01	Biv	Het	95.3
Transennella	0.01	Biv	nonHet	46
Tridacna	0.01	Biv	Het	1368.7
Turtonia	0.01	Biv	nonHet	4
Unio	0.01	Biv	nonHet	81.8
Varicorbula	0.01	Biv	Het	15
Venerupis	0.01	Biv	Het	58
Venus	0.01	Biv	Het	72
Vepricardium	0.01	Biv	Het	80
Yoldia	0.01	Biv	nonHet	60
Yoldiella	0.01	Biv	nonHet	18
Zygochlamys	0.01	Biv	nonHet	97
Abra	1.3	Biv	Het	38
Aequipecten	1.3	Biv	nonHet	101.3
Arctica	1.3	Biv	nonHet	140
Arenomya	1.3	Biv	Het	150
Asa	1.3	Biv	nonHet	87
Astarte	1.3	Biv	nonHet	55
Atrina	1.3	Biv	nonHet	480
Cavilinga	1.3	Biv	Het	5.350769231
Cyrtodaria	1.3	Biv	Het	90
Digitaria	1.3	Biv	nonHet	10
Digitariopsis	1.3	Biv	Het	6.753571429
Ensis	1.3	Biv	nonHet	250
Felaniella	1.3	Biv	Het	17.04
Gastrana	1.3	Biv	nonHet	24.42
Glycymeris	1.3	Biv	nonHet	115
Heteranomia	1.3	Biv	nonHet	22
Hiatella	1.3	Biv	Het	59.7
Laevicardium	1.3	Biv	Het	190
Lentidium	1.3	Biv	Het	10
Lutraria	1.3	Biv	Het	168
Macoma	1.3	Biv	Het	33.275
Mactra	1.3	Biv	Het	126
Mactromeris	1.3	Biv	Het	167
Modiolula	1.3	Biv	nonHet	33.47
Moerella	1.3	Biv	Het	27.41
Monia	1.3	Biv	nonHet	128.4
Mya	1.3	Biv	Het	200
Mytilus	1.3	Biv	nonHet	258
Nucula	1.3	Biv	nonHet	28.1
Ostrea	1.3	Biv	nonHet	190
Panomya	1.3	Biv	Het	179
Panopea	1.3	Biv	Het	295
Pecten	1.3	Biv	nonHet	197.9
Peronaea	1.3	Biv	Het	44.52857143
Psammobia	1.3	Biv	Het	85
Pygocardia	1.3	Biv	nonHet	60.16
Semierycina	1.3	Biv	Het	2.34137931
Spisula	1.3	Biv	Het	130
Truncacila	1.3	Biv	nonHet	23
Varicorbula	1.3	Biv	Het	15
Xylophaga	1.3	Biv	Het	28
Yoldia	1.3	Biv	nonHet	60
Zirfaea	1.3	Biv	Het	143
Abra	3.09	Biv	Het	38
Acanthocardia	3.09	Biv	Het	102.5
Acar	3.09	Biv	nonHet	43
Acesta	3.09	Biv	nonHet	185
Acharax	3.09	Biv	nonHet	240
Acila	3.09	Biv	nonHet	50
Acrosterigma	3.09	Biv	Het	128
Adrana	3.09	Biv	nonHet	107
Aequipecten	3.09	Biv	nonHet	101.3
Alectryonella	3.09	Biv	nonHet	120
Aligena	3.09	Biv	Het	8.92
Alveinus	3.09	Biv	nonHet	2.3
Americardia	3.09	Biv	Het	60
Amiantis	3.09	Biv	Het	122.4
Amusium	3.09	Biv	nonHet	140
Amussiopecten	3.09	Biv	nonHet	94.12
Anadara	3.09	Biv	nonHet	152.1
Anapella	3.09	Biv	Het	32.8
Angulus	3.09	Biv	Het	43.59
Anisocorbula	3.09	Biv	Het	40.52
Anisodonta	3.09	Biv	nonHet	7.881081081
Annachlamys	3.09	Biv	nonHet	102.3
Anodontia	3.09	Biv	Het	33.76153846
Anomia	3.09	Biv	nonHet	93
Arca	3.09	Biv	nonHet	128
Arcinella	3.09	Biv	nonHet	81.4
Arcopagia	3.09	Biv	Het	45.46
Arcopaginula	3.09	Biv	Het	37.98
Arcoperna	3.09	Biv	nonHet	23.15
Arcopsis	3.09	Biv	nonHet	19.5
Arctica	3.09	Biv	nonHet	140
Arenomya	3.09	Biv	Het	150
Argopecten	3.09	Biv	nonHet	159.3
Asa	3.09	Biv	nonHet	87
Asaphis	3.09	Biv	Het	109
Ashtarotha	3.09	Biv	Het	25.95
Astarte	3.09	Biv	nonHet	55
Atrina	3.09	Biv	nonHet	480
Aulacomya	3.09	Biv	nonHet	160
Axinactis	3.09	Biv	nonHet	52.6
Barbatia	3.09	Biv	nonHet	90
Barnea	3.09	Biv	Het	120
Basterotella	3.09	Biv	Het	6.5
Basterotia	3.09	Biv	Het	55
Bathyarca	3.09	Biv	nonHet	35
Batissa	3.09	Biv	Het	66.94
Bellucina	3.09	Biv	Het	8.857142857
Bentharca	3.09	Biv	nonHet	15
Bontaea	3.09	Biv	nonHet	29.61
Bornia	3.09	Biv	Het	6.289705882
Botula	3.09	Biv	nonHet	40
Bowdenia	3.09	Biv	nonHet	3.023333333
Brachidontes	3.09	Biv	nonHet	70
Cadella	3.09	Biv	Het	15.86
Callanaitis	3.09	Biv	nonHet	78
Callista	3.09	Biv	Het	106.1
Calloarca	3.09	Biv	nonHet	46.8
Callocardia	3.09	Biv	Het	28.3
Callucina	3.09	Biv	Het	18.04285714
Cardiomya	3.09	Biv	nonHet	40
Carditella	3.09	Biv	Het	10
Cardium	3.09	Biv	Het	140.6
Caryocorbula	3.09	Biv	nonHet	30.8
Cavilinga	3.09	Biv	Het	5.350769231
Cerastoderma	3.09	Biv	nonHet	56.6
Chama	3.09	Biv	Het	146.7
Chamelea	3.09	Biv	nonHet	48.4
Chametrachea	3.09	Biv	nonHet	500
Chioneryx	3.09	Biv	Het	21
Chlamys	3.09	Biv	nonHet	140
Chloromytilus	3.09	Biv	nonHet	155.6
Circe	3.09	Biv	Het	64.9
Circomphalus	3.09	Biv	nonHet	83
Clausinella	3.09	Biv	nonHet	30
Clidiophora	3.09	Biv	nonHet	39
Clinocardium	3.09	Biv	nonHet	146
Cnesterium	3.09	Biv	nonHet	50
Cochlodesma	3.09	Biv	nonHet	44
Codakia	3.09	Biv	Het	76.4375
Conchocele	3.09	Biv	Het	28.35714286
Coralichlamys	3.09	Biv	nonHet	29
Corbicula	3.09	Biv	Het	23.13
Corbula	3.09	Biv	Het	26.3
Costacallista	3.09	Biv	nonHet	93.3
Costelloleda	3.09	Biv	nonHet	40
Crassadoma	3.09	Biv	nonHet	266.7
