taxon_name	taxon	sub	size	int_midpoint
Liothyris	Biv	Het	45.775	84.95
Lithophaga	Biv	nonHet	147	84.95
Lopha	Biv	nonHet	110	84.95
Loripes	Biv	nonHet	12.95416667	84.95
Lucina	Biv	Het	54.7125	84.95
Lycettia	Biv	nonHet	33.32	84.95
Lyonsia	Biv	nonHet	57	84.95
Lyropecten	Biv	nonHet	187.2666667	84.95
Mactra	Biv	Het	126	84.95
Malletia	Biv	nonHet	62	84.95
Martesia	Biv	Het	45.23333333	84.95
Medeella	Biv	Het	23.45555556	84.95
Meekia	Biv	Het	39.93	84.95
Meleagrinella	Biv	nonHet	12.425	84.95
Meretrix	Biv	nonHet	138.9	84.95
Mesocallista	Biv	Het	37.25	84.95
Mesosaccella	Biv	nonHet	19.555	84.95
Mimachlamys	Biv	nonHet	230	84.95
Mitrocaprina	Biv	nonHet	50.44	84.95
Modiolus	Biv	nonHet	213	84.95
Monopleura	Biv	nonHet	41.86	84.95
Musculus	Biv	nonHet	80	84.95
Mutiella	Biv	nonHet	22.16	84.95
Mya	Biv	Het	200	84.95
Myoconcha	Biv	Het	43.85	84.95
Myrtea	Biv	Het	25.37142857	84.95
Mytiloides	Biv	nonHet	162.96	84.95
Mytilus	Biv	nonHet	258	84.95
Nanonavis	Biv	nonHet	29.275	84.95
Nayadina	Biv	nonHet	56.95714286	84.95
Nemocardium	Biv	Het	81.5	84.95
Nemodon	Biv	nonHet	27.77	84.95
Nicaisolopha	Biv	nonHet	84.14285714	84.95
Nicaniella	Biv	Het	5.295	84.95
Noetia	Biv	nonHet	80	84.95
Nordenskjoeldia	Biv	nonHet	26.67333333	84.95
Notodonax	Biv	Het	42.7	84.95
Nucinella	Biv	nonHet	25	84.95
Nucula	Biv	nonHet	28.1	84.95
Nuculana	Biv	nonHet	35.6	84.95
Nuculoidea	Biv	nonHet	30.34	84.95
Nuculoma	Biv	nonHet	17.685	84.95
Oistotrigonia	Biv	nonHet	42.1	84.95
Opertochasma	Biv	Het	13.00666667	84.95
Opis	Biv	Het	29.33	84.95
Opisoma	Biv	nonHet	90.8	84.95
Ostrea	Biv	nonHet	190	84.95
Oxytoma	Biv	nonHet	19.87	84.95
Pachymya	Biv	nonHet	216.1333333	84.95
Pacitrigonia	Biv	nonHet	57.36	84.95
Palaeomoera	Biv	nonHet	24.13	84.95
Panopea	Biv	Het	295	84.95
Paraesa	Biv	nonHet	23.52	84.95
Parallelodon	Biv	nonHet	116.325	84.95
Parapholas	Biv	Het	158.6	84.95
Parmicorbula	Biv	Het	21.71333333	84.95
Parvamussium	Biv	nonHet	36	84.95
Parvilucina	Biv	Het	10.80227273	84.95
Pecten	Biv	nonHet	197.9	84.95
Periploma	Biv	nonHet	65.6	84.95
Periplomya	Biv	nonHet	44.18	84.95
Perna	Biv	nonHet	191	84.95
Petkovicia	Biv	nonHet	71.89333333	84.95
Phaenodesmia	Biv	nonHet	25.1	84.95
Phelopteria	Biv	nonHet	55.54	84.95
Pholadomya	Biv	nonHet	120	84.95
Pholas	Biv	Het	159	84.95
Phygraea	Biv	nonHet	66.42222222	84.95
Pinna	Biv	nonHet	1200	84.95
Pitar	Biv	Het	90	84.95
Placunopsis	Biv	nonHet	33.79	84.95
Plagiostoma	Biv	nonHet	78.65333333	84.95
Plectomya	Biv	nonHet	51.92	84.95
Pleuromya	Biv	nonHet	45.69	84.95
Plicatula	Biv	nonHet	52.1	84.95
Poromya	Biv	nonHet	64	84.95
Portlandia	Biv	nonHet	31	84.95
Praebarrettia	Biv	nonHet	190.2333333	84.95
Praeradiolites	Biv	nonHet	91.4	84.95
Pratulum	Biv	Het	29	84.95
Procardia	Biv	nonHet	57.58	84.95
Propeamussium	Biv	nonHet	89.8	84.95
Protarca	Biv	nonHet	67.9	84.95
Protocardia	Biv	Het	41.02	84.95
Psammobia	Biv	Het	85	84.95
Pseudamussium	Biv	nonHet	62	84.95
Pseudaphrodina	Biv	nonHet	39.42	84.95
Pseudocucullaea	Biv	nonHet	26.26666667	84.95
Pseudolimea	Biv	nonHet	18.24615385	84.95
Pseudomiltha	Biv	Het	91.02857143	84.95
Pseudoperna	Biv	nonHet	23.645	84.95
Pseudoptera	Biv	nonHet	68.34285714	84.95
Psilomya	Biv	nonHet	23.76	84.95
Pteria	Biv	nonHet	322	84.95
Pterotrigonia	Biv	nonHet	64.53	84.95
Pulvinites	Biv	nonHet	130	84.95
Pycnodonte	Biv	nonHet	138	84.95
Radiolitella	Biv	nonHet	23.89	84.95
Rangia	Biv	Het	78	84.95
Requienia	Biv	nonHet	94.5	84.95
Retroceramus	Biv	nonHet	113.2142857	84.95
Rhynchostreon	Biv	nonHet	83.41428571	84.95
Sarepta	Biv	nonHet	12	84.95
Scabrotrigonia	Biv	nonHet	69.2	84.95
Senis	Biv	nonHet	22.10666667	84.95
Septifer	Biv	nonHet	63.8	84.95
Solecurtus	Biv	nonHet	100	84.95
Solemya	Biv	nonHet	93	84.95
Solen	Biv	nonHet	184.8	84.95
Solyma	Biv	nonHet	24.53	84.95
Spengleria	Biv	Het	48	84.95
Sphenoceramus	Biv	nonHet	281.9	84.95
Spondylus	Biv	nonHet	400	84.95
Syncyclonema	Biv	nonHet	3.40625	84.95
Tancredia	Biv	Het	38.74	84.95
Tellina	Biv	Het	70.95714286	84.95
Tenea	Biv	nonHet	22.77	84.95
Teredo	Biv	Het	5.861666667	84.95
Thracia	Biv	nonHet	120	84.95
Thyasira	Biv	Het	16.21	84.95
Trachycardium	Biv	Het	95.3	84.95
Trigonarca	Biv	nonHet	86.2	84.95
Trigonia	Biv	nonHet	79.71428571	84.95
Trigonocallista	Biv	nonHet	74.16	84.95
Truncacila	Biv	nonHet	23	84.95
Turkostrea	Biv	nonHet	46.33	84.95
Unio	Biv	nonHet	81.8	84.95
Ursirivus	Biv	Het	37.51	84.95
Vaccinites	Biv	nonHet	56.09	84.95
Varicorbula	Biv	Het	15	84.95
Venericardia	Biv	Het	45.25	84.95
Venerupis	Biv	Het	58	84.95
Veniella	Biv	nonHet	50.49	84.95
Venilicardia	Biv	nonHet	98.98	84.95
Venus	Biv	Het	72	84.95
Vulsella	Biv	nonHet	121	84.95
Vultogryphaea	Biv	nonHet	114.8285714	84.95
Yaadia	Biv	nonHet	90.55714286	84.95
Yoldia	Biv	nonHet	60	84.95
Zenatia	Biv	Het	101	84.95
Acesta	Biv	nonHet	185	88.05
Acila	Biv	nonHet	50	88.05
Acutostrea	Biv	nonHet	77.78	88.05
Aequipecten	Biv	nonHet	101.3	88.05
Agelasina	Biv	nonHet	104.5285714	88.05
Agriopleura	Biv	nonHet	50.74444444	88.05
Amphidonte	Biv	nonHet	64.42857143	88.05
Amusium	Biv	nonHet	140	88.05
Amygdalum	Biv	nonHet	75	88.05
Anatimya	Biv	nonHet	56.48571429	88.05
Anatina	Biv	nonHet	81.2	88.05
Anisocardia	Biv	Het	30.41428571	88.05
Anomia	Biv	nonHet	93	88.05
Anthonya	Biv	nonHet	44.54	88.05
Aphrodina	Biv	Het	52.5	88.05
Apiotrigonia	Biv	nonHet	26.02	88.05
Arca	Biv	nonHet	128	88.05
Arcomya	Biv	nonHet	73.27	88.05
Arcomytilus	Biv	nonHet	57.36	88.05
Arcopagia	Biv	Het	45.46	88.05
Arcoperna	Biv	nonHet	23.15	88.05
Arctica	Biv	nonHet	140	88.05
Arctostrea	Biv	nonHet	89.03	88.05
Astarte	Biv	nonHet	55	88.05
Astartemya	Biv	Het	36.28571429	88.05
Atreta	Biv	nonHet	13.265	88.05
Atrina	Biv	nonHet	480	88.05
Bakevellia	Biv	nonHet	23.01	88.05
Barbatia	Biv	nonHet	90	88.05
Barrettia	Biv	nonHet	202.6	88.05
Bellaxinaea	Biv	nonHet	49.3	88.05
Biradiolites	Biv	nonHet	50.57333333	88.05
Botula	Biv	nonHet	40	88.05
Bournonia	Biv	nonHet	115.975	88.05
Brachidontes	Biv	nonHet	70	88.05
Bucardiomya	Biv	nonHet	56.95714286	88.05
Buchia	Biv	nonHet	38.63	88.05
Caestocorbula	Biv	Het	31.33	88.05
Callista	Biv	Het	106.1	88.05
Callucina	Biv	Het	18.04285714	88.05
Calva	Biv	Het	36.07	88.05
Camptochlamys	Biv	nonHet	76.18	88.05
Camptonectes	Biv	nonHet	38.14	88.05
Caprina	Biv	nonHet	396.4545455	88.05
Caprinula	Biv	nonHet	204.32	88.05
Cardium	Biv	Het	140.6	88.05
Caryocorbula	Biv	nonHet	30.8	88.05
Catella	Biv	nonHet	36.63	88.05
Cercomya	Biv	nonHet	96.55714286	88.05
Chama	Biv	Het	146.7	88.05
Chlamys	Biv	nonHet	140	88.05
Clisocolus	Biv	nonHet	24.70666667	88.05
Codakia	Biv	Het	76.4375	88.05
Corbicula	Biv	Het	23.13	88.05
Corbula	Biv	Het	26.3	88.05
Corbulamella	Biv	Het	2.872	88.05
Cosmetodon	Biv	nonHet	42.89	88.05
Costagyra	Biv	nonHet	176.75	88.05
Crassatella	Biv	Het	102.36	88.05
Crassatellina	Biv	nonHet	16.085	88.05
Crassinella	Biv	nonHet	10	88.05
Crassostrea	Biv	nonHet	450	88.05
Cremnoceramus	Biv	nonHet	77.01428571	88.05
Crenella	Biv	nonHet	10	88.05
Ctenoides	Biv	nonHet	115.4	88.05
Cubitostrea	Biv	nonHet	44.3	88.05
Cucullaea	Biv	nonHet	136.5	88.05
Cunearca	Biv	nonHet	78	88.05
Cuneocorbula	Biv	Het	9.836	88.05
Curvostrea	Biv	nonHet	38.06	88.05
Cuspidaria	Biv	nonHet	62.5	88.05
Cyclocardia	Biv	Het	60	88.05
Cyclorisma	Biv	nonHet	71.12	88.05
Cyprimeria	Biv	nonHet	50.82	88.05
Delectopecten	Biv	nonHet	45	88.05
Deltopecten	Biv	nonHet	155.7555556	88.05
Didymotis	Biv	nonHet	60.67142857	88.05
Dimyodon	Biv	nonHet	7.211764706	88.05
Diplodonta	Biv	Het	13.15333333	88.05
Dozyia	Biv	Het	31.72857143	88.05
Durania	Biv	nonHet	45.07142857	88.05
Eburneopecten	Biv	nonHet	16.035	88.05
Entolium	Biv	nonHet	37.33	88.05
Eonavicula	Biv	nonHet	40.66923077	88.05
Eoradiolites	Biv	nonHet	28.8	88.05
Eriphylopsis	Biv	nonHet	13.82	88.05
Eselaevitrigonia	Biv	nonHet	51.75	88.05
Etea	Biv	nonHet	31.62	88.05
Exogyra	Biv	nonHet	86.25714286	88.05
Ezonuculana	Biv	nonHet	17.2	88.05
Fimbria	Biv	nonHet	133	88.05
Flabellipecten	Biv	nonHet	78.7	88.05
Flemingostrea	Biv	nonHet	125.08	88.05
Fragum	Biv	Het	76	88.05
Freiastarte	Biv	Het	28.31428571	88.05
Gari	Biv	Het	60	88.05
Gastrochaena	Biv	nonHet	57	88.05
Gervillia	Biv	nonHet	67.74	88.05
Glossus	Biv	Het	100	88.05
Glycymeris	Biv	nonHet	115	88.05
Glycymerita	Biv	nonHet	57.02857143	88.05
Goniochasma	Biv	Het	10.475	88.05
Goniomya	Biv	nonHet	54.12	88.05
Gouldia	Biv	Het	180	88.05
Grammatodon	Biv	nonHet	19.355	88.05
Granocardium	Biv	Het	39.73	88.05
Gryphaea	Biv	nonHet	50.16	88.05
Gryphaeostrea	Biv	nonHet	30.46	88.05
Gyrostrea	Biv	nonHet	65.77	88.05
Heterotrigonia	Biv	nonHet	49.4	88.05
Hiatella	Biv	Het	59.7	88.05
Hinnites	Biv	nonHet	180	88.05
Hippurites	Biv	nonHet	39.23076923	88.05
Homomya	Biv	nonHet	122.9285714	88.05
Hyotissa	Biv	nonHet	271	88.05
Icanotia	Biv	nonHet	52.12857143	88.05
Idonearca	Biv	nonHet	71.87142857	88.05
Ilymatogyra	Biv	nonHet	29.6	88.05
Indogrammatodon	Biv	nonHet	24.21	88.05
Inoceramus	Biv	nonHet	129.04	88.05
Inoperna	Biv	nonHet	80.86	88.05
Integricardium	Biv	Het	82.88333333	88.05
Iotrigonia	Biv	nonHet	84.4	88.05
Isoarca	Biv	nonHet	26.99	88.05
Isognomon	Biv	nonHet	253.5	88.05
Jouannetia	Biv	Het	50.9	88.05
Jupiteria	Biv	nonHet	17.5	88.05
Laevicardium	Biv	Het	190	88.05
Laevitrigonia	Biv	nonHet	60.61176471	88.05
Laternula	Biv	nonHet	90.7	88.05
Legumen	Biv	nonHet	45.78	88.05
Leptosolen	Biv	nonHet	48.9	88.05
Lima	Biv	nonHet	158	88.05
Limaria	Biv	nonHet	58.4	88.05
Limatula	Biv	nonHet	40.96	88.05
Limea	Biv	nonHet	5.3	88.05
Limopsis	Biv	nonHet	33.67	88.05
Linearia	Biv	Het	12.548	88.05
Linotrigonia	Biv	nonHet	12.53	88.05
Linter	Biv	nonHet	5.355	88.05
Liopistha	Biv	nonHet	25.7	88.05
Liostrea	Biv	nonHet	41.21428571	88.05
Liothyris	Biv	Het	45.775	88.05
Lithophaga	Biv	nonHet	147	88.05
Lopha	Biv	nonHet	110	88.05
Loripes	Biv	nonHet	12.95416667	88.05
Lucina	Biv	Het	54.7125	88.05
Lycettia	Biv	nonHet	33.32	88.05
Lyonsia	Biv	nonHet	57	88.05
Lyropecten	Biv	nonHet	187.2666667	88.05
Mactra	Biv	Het	126	88.05
Malletia	Biv	nonHet	62	88.05
Martesia	Biv	Het	45.23333333	88.05
Medeella	Biv	Het	23.45555556	88.05
Meekia	Biv	Het	39.93	88.05
Meleagrinella	Biv	nonHet	12.425	88.05
Meretrix	Biv	nonHet	138.9	88.05
Mesocallista	Biv	Het	37.25	88.05
Mesosaccella	Biv	nonHet	19.555	88.05
Mimachlamys	Biv	nonHet	230	88.05
Modiolus	Biv	nonHet	213	88.05
Monopleura	Biv	nonHet	41.86	88.05
Musculus	Biv	nonHet	80	88.05
Mutiella	Biv	nonHet	22.16	88.05
Mya	Biv	Het	200	88.05
Myoconcha	Biv	Het	43.85	88.05
Myrtea	Biv	Het	25.37142857	88.05
Mytiloides	Biv	nonHet	162.96	88.05
Mytilus	Biv	nonHet	258	88.05
Nanonavis	Biv	nonHet	29.275	88.05
Nayadina	Biv	nonHet	56.95714286	88.05
Nemocardium	Biv	Het	81.5	88.05
Nemodon	Biv	nonHet	27.77	88.05
Nicaisolopha	Biv	nonHet	84.14285714	88.05
Nicaniella	Biv	Het	5.295	88.05
Noetia	Biv	nonHet	80	88.05
Notodonax	Biv	Het	42.7	88.05
Nucinella	Biv	nonHet	25	88.05
Nucula	Biv	nonHet	28.1	88.05
Nuculana	Biv	nonHet	35.6	88.05
Nuculoidea	Biv	nonHet	30.34	88.05
Nuculoma	Biv	nonHet	17.685	88.05
Oistotrigonia	Biv	nonHet	42.1	88.05
Opertochasma	Biv	Het	13.00666667	88.05
Opis	Biv	Het	29.33	88.05
Opisoma	Biv	nonHet	90.8	88.05
Ostrea	Biv	nonHet	190	88.05
Oxytoma	Biv	nonHet	19.87	88.05
Pachymya	Biv	nonHet	216.1333333	88.05
Pacitrigonia	Biv	nonHet	57.36	88.05
Palaeomoera	Biv	nonHet	24.13	88.05
Panopea	Biv	Het	295	88.05
Paraesa	Biv	nonHet	23.52	88.05
Parallelodon	Biv	nonHet	116.325	88.05
Parapholas	Biv	Het	158.6	88.05
Parmicorbula	Biv	Het	21.71333333	88.05
Parvamussium	Biv	nonHet	36	88.05
Parvilucina	Biv	Het	10.80227273	88.05
Pecten	Biv	nonHet	197.9	88.05
Periploma	Biv	nonHet	65.6	88.05
Periplomya	Biv	nonHet	44.18	88.05
Perna	Biv	nonHet	191	88.05
Petkovicia	Biv	nonHet	71.89333333	88.05
Phaenodesmia	Biv	nonHet	25.1	88.05
Phelopteria	Biv	nonHet	55.54	88.05
Pholadomya	Biv	nonHet	120	88.05
Pholas	Biv	Het	159	88.05
Phygraea	Biv	nonHet	66.42222222	88.05
Pinna	Biv	nonHet	1200	88.05
Pitar	Biv	Het	90	88.05
Placunopsis	Biv	nonHet	33.79	88.05
Plagiostoma	Biv	nonHet	78.65333333	88.05
Plectomya	Biv	nonHet	51.92	88.05
Pleuromya	Biv	nonHet	45.69	88.05
Plicatula	Biv	nonHet	52.1	88.05
Poromya	Biv	nonHet	64	88.05
Portlandia	Biv	nonHet	31	88.05
Praeradiolites	Biv	nonHet	91.4	88.05
Pratulum	Biv	Het	29	88.05
Procardia	Biv	nonHet	57.58	88.05
Propeamussium	Biv	nonHet	89.8	88.05
Protarca	Biv	nonHet	67.9	88.05
Protocardia	Biv	Het	41.02	88.05
Psammobia	Biv	Het	85	88.05
Pseudamussium	Biv	nonHet	62	88.05
Pseudaphrodina	Biv	nonHet	39.42	88.05
Pseudocucullaea	Biv	nonHet	26.26666667	88.05
Pseudolimea	Biv	nonHet	18.24615385	88.05
Pseudomiltha	Biv	Het	91.02857143	88.05
Pseudoperna	Biv	nonHet	23.645	88.05
Pseudoptera	Biv	nonHet	68.34285714	88.05
Psilomya	Biv	nonHet	23.76	88.05
Pteria	Biv	nonHet	322	88.05
Pterotrigonia	Biv	nonHet	64.53	88.05
Pulvinites	Biv	nonHet	130	88.05
Pycnodonte	Biv	nonHet	138	88.05
Rangia	Biv	Het	78	88.05
Requienia	Biv	nonHet	94.5	88.05
Retroceramus	Biv	nonHet	113.2142857	88.05
Rhynchostreon	Biv	nonHet	83.41428571	88.05
Sarepta	Biv	nonHet	12	88.05
Scabrotrigonia	Biv	nonHet	69.2	88.05
Senis	Biv	nonHet	22.10666667	88.05
Septifer	Biv	nonHet	63.8	88.05
Solecurtus	Biv	nonHet	100	88.05
Solemya	Biv	nonHet	93	88.05
Solen	Biv	nonHet	184.8	88.05
Solyma	Biv	nonHet	24.53	88.05
Spengleria	Biv	Het	48	88.05
Sphenoceramus	Biv	nonHet	281.9	88.05
Spondylus	Biv	nonHet	400	88.05
Syncyclonema	Biv	nonHet	3.40625	88.05
Tancredia	Biv	Het	38.74	88.05
Tellina	Biv	Het	70.95714286	88.05
Tenea	Biv	nonHet	22.77	88.05
Teredo	Biv	Het	5.861666667	88.05
Thracia	Biv	nonHet	120	88.05
Thyasira	Biv	Het	16.21	88.05
Trachycardium	Biv	Het	95.3	88.05
Trigonarca	Biv	nonHet	86.2	88.05
Trigonia	Biv	nonHet	79.71428571	88.05
Trigonocallista	Biv	nonHet	74.16	88.05
Truncacila	Biv	nonHet	23	88.05
Turkostrea	Biv	nonHet	46.33	88.05
Unio	Biv	nonHet	81.8	88.05
Ursirivus	Biv	Het	37.51	88.05
Vaccinites	Biv	nonHet	56.09	88.05
Varicorbula	Biv	Het	15	88.05
Venericardia	Biv	Het	45.25	88.05
Venerupis	Biv	Het	58	88.05
Veniella	Biv	nonHet	50.49	88.05
Venilicardia	Biv	nonHet	98.98	88.05
Venus	Biv	Het	72	88.05
Vulsella	Biv	nonHet	121	88.05
Vultogryphaea	Biv	nonHet	114.8285714	88.05
Yaadia	Biv	nonHet	90.55714286	88.05
Yoldia	Biv	nonHet	60	88.05
Acesta	Biv	nonHet	185	91.55
Acila	Biv	nonHet	50	91.55
Acutostrea	Biv	nonHet	77.78	91.55
Aequipecten	Biv	nonHet	101.3	91.55
Agelasina	Biv	nonHet	104.5285714	91.55
Agriopleura	Biv	nonHet	50.74444444	91.55
Amphidonte	Biv	nonHet	64.42857143	91.55
Amusium	Biv	nonHet	140	91.55
Amygdalum	Biv	nonHet	75	91.55
Anatimya	Biv	nonHet	56.48571429	91.55
Anatina	Biv	nonHet	81.2	91.55
Anisocardia	Biv	Het	30.41428571	91.55
Anomia	Biv	nonHet	93	91.55
Anthonya	Biv	nonHet	44.54	91.55
Aphrodina	Biv	Het	52.5	91.55
Apiotrigonia	Biv	nonHet	26.02	91.55
Arca	Biv	nonHet	128	91.55
Arcomya	Biv	nonHet	73.27	91.55
Arcomytilus	Biv	nonHet	57.36	91.55
Arcopagia	Biv	Het	45.46	91.55
Arcoperna	Biv	nonHet	23.15	91.55
Arctica	Biv	nonHet	140	91.55
Arctostrea	Biv	nonHet	89.03	91.55
Astarte	Biv	nonHet	55	91.55
Astartemya	Biv	Het	36.28571429	91.55
Atreta	Biv	nonHet	13.265	91.55
Atrina	Biv	nonHet	480	91.55
Aucellina	Biv	nonHet	26.63	91.55
Bakevellia	Biv	nonHet	23.01	91.55
Barbatia	Biv	nonHet	90	91.55
Biradiolites	Biv	nonHet	50.57333333	91.55
Botula	Biv	nonHet	40	91.55
Bournonia	Biv	nonHet	115.975	91.55
Brachidontes	Biv	nonHet	70	91.55
Bucardiomya	Biv	nonHet	56.95714286	91.55
Buchia	Biv	nonHet	38.63	91.55
Caestocorbula	Biv	Het	31.33	91.55
Callista	Biv	Het	106.1	91.55
Callucina	Biv	Het	18.04285714	91.55
Calva	Biv	Het	36.07	91.55
Camptochlamys	Biv	nonHet	76.18	91.55
Camptonectes	Biv	nonHet	38.14	91.55
Caprina	Biv	nonHet	396.4545455	91.55
Caprinula	Biv	nonHet	204.32	91.55
Cardium	Biv	Het	140.6	91.55
Caryocorbula	Biv	nonHet	30.8	91.55
Catella	Biv	nonHet	36.63	91.55
Cercomya	Biv	nonHet	96.55714286	91.55
Chama	Biv	Het	146.7	91.55
Chlamys	Biv	nonHet	140	91.55
Clisocolus	Biv	nonHet	24.70666667	91.55
Codakia	Biv	Het	76.4375	91.55
Corbicula	Biv	Het	23.13	91.55
Corbula	Biv	Het	26.3	91.55
Corbulamella	Biv	Het	2.872	91.55
Cosmetodon	Biv	nonHet	42.89	91.55
Costagyra	Biv	nonHet	176.75	91.55
Crassatella	Biv	Het	102.36	91.55
Crassatellina	Biv	nonHet	16.085	91.55
Crassinella	Biv	nonHet	10	91.55
Crassostrea	Biv	nonHet	450	91.55
Cremnoceramus	Biv	nonHet	77.01428571	91.55
Crenella	Biv	nonHet	10	91.55
Ctenoides	Biv	nonHet	115.4	91.55
Cubitostrea	Biv	nonHet	44.3	91.55
Cucullaea	Biv	nonHet	136.5	91.55
Cunearca	Biv	nonHet	78	91.55
Cuneocorbula	Biv	Het	9.836	91.55
Curvostrea	Biv	nonHet	38.06	91.55
Cuspidaria	Biv	nonHet	62.5	91.55
Cyclocardia	Biv	Het	60	91.55
Cyclorisma	Biv	nonHet	71.12	91.55
Cyprimeria	Biv	nonHet	50.82	91.55
Delectopecten	Biv	nonHet	45	91.55
Deltopecten	Biv	nonHet	155.7555556	91.55
Didymotis	Biv	nonHet	60.67142857	91.55
Dimyodon	Biv	nonHet	7.211764706	91.55
Diplodonta	Biv	Het	13.15333333	91.55
Dozyia	Biv	Het	31.72857143	91.55
Durania	Biv	nonHet	45.07142857	91.55
Eburneopecten	Biv	nonHet	16.035	91.55
Entolium	Biv	nonHet	37.33	91.55
Eonavicula	Biv	nonHet	40.66923077	91.55
Eoradiolites	Biv	nonHet	28.8	91.55
Eriphylopsis	Biv	nonHet	13.82	91.55
Eselaevitrigonia	Biv	nonHet	51.75	91.55
Etea	Biv	nonHet	31.62	91.55
Exogyra	Biv	nonHet	86.25714286	91.55
Ezonuculana	Biv	nonHet	17.2	91.55
Fimbria	Biv	nonHet	133	91.55
Flabellipecten	Biv	nonHet	78.7	91.55
Flaventia	Biv	nonHet	25.92	91.55
Flemingostrea	Biv	nonHet	125.08	91.55
Freiastarte	Biv	Het	28.31428571	91.55
Gari	Biv	Het	60	91.55
Gastrochaena	Biv	nonHet	57	91.55
Gervillaria	Biv	nonHet	142.84	91.55
Gervillia	Biv	nonHet	67.74	91.55
Glossus	Biv	Het	100	91.55
Glycymeris	Biv	nonHet	115	91.55
Glycymerita	Biv	nonHet	57.02857143	91.55
Goniochasma	Biv	Het	10.475	91.55
Goniomya	Biv	nonHet	54.12	91.55
Gouldia	Biv	Het	180	91.55
Grammatodon	Biv	nonHet	19.355	91.55
Granocardium	Biv	Het	39.73	91.55
Gryphaea	Biv	nonHet	50.16	91.55
Gryphaeostrea	Biv	nonHet	30.46	91.55
Gyrostrea	Biv	nonHet	65.77	91.55
Heterotrigonia	Biv	nonHet	49.4	91.55
Hiatella	Biv	Het	59.7	91.55
Hinnites	Biv	nonHet	180	91.55
Hippurites	Biv	nonHet	39.23076923	91.55
Homomya	Biv	nonHet	122.9285714	91.55
Hyotissa	Biv	nonHet	271	91.55
Icanotia	Biv	nonHet	52.12857143	91.55
Idonearca	Biv	nonHet	71.87142857	91.55
Ilymatogyra	Biv	nonHet	29.6	91.55
Indogrammatodon	Biv	nonHet	24.21	91.55
Inoceramus	Biv	nonHet	129.04	91.55
Inoperna	Biv	nonHet	80.86	91.55
Integricardium	Biv	Het	82.88333333	91.55
Iotrigonia	Biv	nonHet	84.4	91.55
Isoarca	Biv	nonHet	26.99	91.55
Isognomon	Biv	nonHet	253.5	91.55
Jouannetia	Biv	Het	50.9	91.55
Jupiteria	Biv	nonHet	17.5	91.55
Korobkovitrigonia	Biv	nonHet	71.54117647	91.55
Laevicardium	Biv	Het	190	91.55
Laevitrigonia	Biv	nonHet	60.61176471	91.55
Laternula	Biv	nonHet	90.7	91.55
Legumen	Biv	nonHet	45.78	91.55
Leptosolen	Biv	nonHet	48.9	91.55
Lima	Biv	nonHet	158	91.55
Limaria	Biv	nonHet	58.4	91.55
Limatula	Biv	nonHet	40.96	91.55
Limea	Biv	nonHet	5.3	91.55
Limopsis	Biv	nonHet	33.67	91.55
Linearia	Biv	Het	12.548	91.55
Linotrigonia	Biv	nonHet	12.53	91.55
Linter	Biv	nonHet	5.355	91.55
Liopistha	Biv	nonHet	25.7	91.55
Liostrea	Biv	nonHet	41.21428571	91.55
Liothyris	Biv	Het	45.775	91.55
Lithophaga	Biv	nonHet	147	91.55
Lopha	Biv	nonHet	110	91.55
Loripes	Biv	nonHet	12.95416667	91.55
Lucina	Biv	Het	54.7125	91.55
Lycettia	Biv	nonHet	33.32	91.55
Lyonsia	Biv	nonHet	57	91.55
Mactra	Biv	Het	126	91.55
Malletia	Biv	nonHet	62	91.55
Margostrea	Biv	nonHet	31.24	91.55
Martesia	Biv	Het	45.23333333	91.55
Matsumotoa	Biv	nonHet	35.04	91.55
Meekia	Biv	Het	39.93	91.55
Megatrigonia	Biv	nonHet	136.5777778	91.55
Meleagrinella	Biv	nonHet	12.425	91.55
Meretrix	Biv	nonHet	138.9	91.55
Mesocallista	Biv	Het	37.25	91.55
Mesosaccella	Biv	nonHet	19.555	91.55
Mimachlamys	Biv	nonHet	230	91.55
Modiolus	Biv	nonHet	213	91.55
Monopleura	Biv	nonHet	41.86	91.55
Musculus	Biv	nonHet	80	91.55
Mutiella	Biv	nonHet	22.16	91.55
Mya	Biv	Het	200	91.55
Myoconcha	Biv	Het	43.85	91.55
Myrtea	Biv	Het	25.37142857	91.55
Mytiloides	Biv	nonHet	162.96	91.55
Mytilus	Biv	nonHet	258	91.55
Nanonavis	Biv	nonHet	29.275	91.55
Nayadina	Biv	nonHet	56.95714286	91.55
Nelltia	Biv	nonHet	37.28	91.55
Nemocardium	Biv	Het	81.5	91.55
Nemodon	Biv	nonHet	27.77	91.55
Nicaisolopha	Biv	nonHet	84.14285714	91.55
Nicaniella	Biv	Het	5.295	91.55
Nipponicorbula	Biv	Het	10.296	91.55
Noetia	Biv	nonHet	80	91.55
Notodonax	Biv	Het	42.7	91.55
Nucinella	Biv	nonHet	25	91.55
Nucula	Biv	nonHet	28.1	91.55
Nuculana	Biv	nonHet	35.6	91.55
Nuculoidea	Biv	nonHet	30.34	91.55
Nuculoma	Biv	nonHet	17.685	91.55
Oistotrigonia	Biv	nonHet	42.1	91.55
Opertochasma	Biv	Het	13.00666667	91.55
Opis	Biv	Het	29.33	91.55
Opisoma	Biv	nonHet	90.8	91.55
Ostrea	Biv	nonHet	190	91.55
Oxytoma	Biv	nonHet	19.87	91.55
Pachymya	Biv	nonHet	216.1333333	91.55
Pacitrigonia	Biv	nonHet	57.36	91.55
